> PRN,time,C1X,L1X,S1X,C5X,L5X,S5X,C7X,L7X,S7X,C8X,L8X,S8X,C6X,L6X,S6X
  E02, 2025-01-27 01:55:30.000,28545173.34,150005895.9,39.9,28545176.85,112017401.8,40.6,28545175.55,114939591.5,42.3,28545177.51,113478501.5,45.3,28545169.75,121758018.7,40.1
  E02, 2025-01-27 01:56:00.000,28527816.93,149914688.7,40.5,28527820.75,111949292.4,41.8,28527819.27,114869705.3,43.1,28527821.6,113409503.6,46.7,28527813.81,121683986.7,40.7
  E02, 2025-01-27 01:56:30.000,28510455.47,149823454.1,40.2,28510459.66,111881162.4,42.2,28510457.95,114799798,43.3,28510460.38,113340485,46.7,28510452.29,121609932.5,41.1
  E02, 2025-01-27 01:57:00.000,28493089.54,149732193.6,40.2,28493093.7,111813013.2,42.8,28493092.06,114729871.1,44.2,28493094.3,113271446.9,47.8,28493086.35,121535857.3,41.6
  E02, 2025-01-27 01:57:30.000,28475719.56,149640908.7,39,28475722.77,111744845.7,43.2,28475721.22,114659925.3,44.3,28475723.61,113202390.3,47.5,28475715.66,121461762.3,41.7
  E02, 2025-01-27 01:58:00.000,28458343.52,149549601,38.3,28458347.56,111676661.2,42.7,28458346,114589962.1,43.3,28458348.42,113133316.4,47,28458340.79,121387648.7,40.7
  E02, 2025-01-27 01:58:30.000,28440964.49,149458272.1,37.1,28440968.44,111608460.8,41.2,28440967.06,114519982.6,43.7,28440969.25,113064226.5,46.3,28440960.94,121313518,39
  E02, 2025-01-27 01:59:00.000,28423581.22,149366923.3,38.3,28423585.83,111540245.6,39.7,28423584.21,114449987.9,41.9,28423586.46,112995121.5,44.8,28423578.28,121239371.1,37.7
  E02, 2025-01-27 01:59:30.000,28406195.06,149275556.2,38.5,28406198.77,111472016.8,37.8,28406197.09,114379979.2,39.2,28406200.12,112926002.8,43,28406191.19,121165209.4,36.2
  E02, 2025-01-27 02:00:00.000,28388805.06,149184172.5,40.1,28388809.57,111403775.4,38.7,28388807.5,114309957.7,38.7,28388810.55,112856871.3,42.3,28388802.1,121091034,38.1
  E02, 2025-01-27 02:00:30.000,28371413.1,149092774,39.7,28371417.63,111335523.1,40.4,28371415.3,114239924.8,40.4,28371417.94,112787728.7,44,28371409.81,121016846.8,40.3
  E02, 2025-01-27 02:01:00.000,28354017.99,149001362.3,39.8,28354022.47,111267260.9,40.9,28354020.86,114169881.9,42.5,28354023,112718576.2,45.6,28354014.62,120942648.9,41.3
  E02, 2025-01-27 02:01:30.000,28336620.49,148909938.2,38.9,28336625.32,111198989.4,42.3,28336623.7,114099829.5,44.2,28336625.75,112649414.2,47.6,28336617.24,120868440.9,41.3
  E02, 2025-01-27 02:02:00.000,28319221.27,148818503,39.3,28319225.81,111130709.7,42.5,28319224.35,114029768.6,44.6,28319226.46,112580244,47.5,28319217.82,120794223.9,40.5
  E02, 2025-01-27 02:02:30.000,28301820.26,148727058.7,39.7,28301824.74,111062423.2,41.9,28301823.33,113959700.8,44.6,28301825.49,112511066.8,46.8,28301817.13,120719999.5,39.8
  E02, 2025-01-27 02:03:00.000,28284417.41,148635606.8,39,28284422.17,110994131,41.6,28284420.52,113889627.1,42.7,28284423.03,112441883.8,46.1,28284414.75,120645768.9,39.6
  E02, 2025-01-27 02:03:30.000,28267014.07,148544148.8,37.8,28267018.38,110925834.3,41.5,28267016.5,113819548.7,41.5,28267019.27,112372696.3,45.6,28267011.11,120571533.4,40.2
  E02, 2025-01-27 02:04:00.000,28249609.53,148452686.4,39.7,28249614.39,110857534.3,42,28249611.98,113749466.9,42.1,28249614.54,112303505.4,45.9,28249606.46,120497294.3,40.4
  E02, 2025-01-27 02:04:30.000,28232204.27,148361220.9,41.4,28232208.88,110789232,41.8,28232207.09,113679382.8,42.4,28232209.28,112234312.2,45.9,28232201.38,120423052.7,39.9
  E02, 2025-01-27 02:05:00.000,28214798.95,148269754.3,40.4,28214803.45,110720928.8,40.8,28214801.98,113609297.8,42.3,28214803.95,112165118.1,45.1,28214795.61,120348810.2,37.9
  E02, 2025-01-27 02:05:30.000,28197393.75,148178288.5,39.7,28197397.82,110652626.1,40.8,28197396.98,113539213.4,42.9,28197398.81,112095924.6,45.9,28197390.49,120274568.3,39.6
  E02, 2025-01-27 02:06:00.000,28179988.72,148086824.1,39.6,28179992.95,110584324.6,40.4,28179991.69,113469130.2,43.1,28179994.07,112026732.2,46.2,28179985.5,120200327.6,40.4
  E02, 2025-01-27 02:06:30.000,28162584.31,147995362.7,39.5,28162588.89,110516025.3,42.3,28162587.07,113399049.2,44.2,28162589.73,111957542,46.9,28162581.14,120126089.3,41
  E02, 2025-01-27 02:07:00.000,28145180.54,147903905.9,39.6,28145185.46,110447729.5,43.2,28145183.75,113328971.7,44.5,28145186.13,111888355.4,47.8,28145177.75,120051854.8,41.1
  E02, 2025-01-27 02:07:30.000,28127778.3,147812455.2,38.6,28127782.74,110379438.3,42.1,28127781.66,113258899,42.5,28127783.68,111819173.5,46.3,28127776,119977625.2,40.8
  E02, 2025-01-27 02:08:00.000,28110377.21,147721012.3,39,28110382.04,110311152.8,41.6,28110380.82,113188832.2,43.6,28110382.96,111749997.3,46.9,28110375.29,119903402,42.1
