> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X,Unnamed: 14,Unnamed: 15,Unnamed: 16
I02, 2025-01-01 00:00:00.000,39525985.72,155108722.6,42.7,39525980.13,328560443.7,36.9,,,,,,,,,
I02, 2025-01-01 00:00:30.000,39525920.06,155108465.2,43.6,39525914.31,328559898.5,38.1,,,,,,,,,
I02, 2025-01-01 00:01:00.000,39525839.45,155108150.1,44.5,39525834.07,328559231.1,36.8,,,,,,,,,
I02, 2025-01-01 00:01:30.000,39525745.13,155107778.1,44.9,39525739.06,328558443.1,36.9,,,,,,,,,
I02, 2025-01-01 00:02:00.000,39525635.46,155107349.1,44.5,39525629.68,328557534.3,37.2,,,,,,,,,
I02, 2025-01-01 00:02:30.000,39525511.24,155106862.8,43.9,39525505.81,328556504.3,37,,,,,,,,,
I02, 2025-01-01 00:03:00.000,39525373.51,155106318.9,45,39525367.38,328555352.2,37.9,,,,,,,,,
I02, 2025-01-01 00:03:30.000,39525219.73,155105717.8,43.7,39525214.37,328554079.1,38,,,,,,,,,
I02, 2025-01-01 00:04:00.000,39525052.1,155105059.6,44.3,39525046.86,328552684.9,38.7,,,,,,,,,
I02, 2025-01-01 00:04:30.000,39524869.79,155104344.2,43.2,39524864.63,328551169.5,38.9,,,,,,,,,
I02, 2025-01-01 00:05:00.000,39524672.85,155103571.9,42.6,39524667.68,328549533.6,38.5,,,,,,,,,
I02, 2025-01-01 00:05:30.000,39524461.56,155102742.2,43.5,39524456.02,328547776.1,38.1,,,,,,,,,
I02, 2025-01-01 00:06:00.000,39524235.44,155101855,43.2,39524229.84,328545896.8,38.3,,,,,,,,,
I02, 2025-01-01 00:06:30.000,39523994.56,155100910.8,44,39523989.08,328543897,37.4,,,,,,,,,
I02, 2025-01-01 00:07:00.000,39523739.27,155099909.7,42.6,39523733.95,328541776.4,37.5,,,,,,,,,
I02, 2025-01-01 00:07:30.000,39523470.42,155098852.2,43.1,39523464.68,328539536.3,37,,,,,,,,,
I02, 2025-01-01 00:08:00.000,39523185.76,155097737.9,43.5,39523181.06,328537176,38.6,,,,,,,,,
I02, 2025-01-01 00:08:30.000,39522887.83,155096566.8,42.3,39522882.68,328534695.4,37.3,,,,,,,,,
I02, 2025-01-01 00:09:00.000,39522575.01,155095338.6,42.2,39522569.8,328532093.8,37.7,,,,,,,,,
I02, 2025-01-01 00:09:30.000,39522247.34,155094053.7,42.8,39522242.18,328529372.1,35.8,,,,,,,,,
I02, 2025-01-01 00:10:00.000,39521905.47,155092711.9,42.5,39521899.86,328526529.9,37.3,,,,,,,,,
I02, 2025-01-01 00:10:30.000,39521549.5,155091313.3,43.1,39521543.47,328523567.4,38.3,,,,,,,,,
I02, 2025-01-01 00:11:00.000,39521178.63,155089858.3,43.5,39521172.71,328520485.3,37,,,,,,,,,
I02, 2025-01-01 00:11:30.000,39520793.33,155088346.4,42.1,39520787.66,328517282.9,36.5,,,,,,,,,
I02, 2025-01-01 00:12:00.000,39520393.63,155086777.7,41.9,39520388.31,328513960,36.4,,,,,,,,,
I02, 2025-01-01 00:12:30.000,39519979.31,155085152.6,42.2,39519974.18,328510517.6,37.7,,,,,,,,,
I02, 2025-01-01 00:13:00.000,39519550.91,155083470.7,41.1,39519545.35,328506955,38.8,,,,,,,,,
I02, 2025-01-01 00:13:30.000,39519108.33,155081732.6,42.3,39519102.33,328503273.5,37.9,,,,,,,,,
I02, 2025-01-01 00:14:00.000,39518651.15,155079938.1,43.3,39518644.76,328499472.4,37.9,,,,,,,,,
I02, 2025-01-01 00:14:30.000,39518179.31,155078087.2,41.8,39518172.96,328495551.7,38.3,,,,,,,,,
I02, 2025-01-01 00:15:00.000,39517693.23,155076180,42.1,39517687.17,328491511.9,38,,,,,,,,,
I02, 2025-01-01 00:15:30.000,39517192.69,155074216.3,43.3,39517187.02,328487352.3,39.2,,,,,,,,,
