> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-06 00:00:00.000,   39512401.000,  155055444.108,         44.100,   39512397.223,  328447561.060,         36.500,,,,,,
I02, 2025-01-06 00:00:30.000,   39511754.930,  155052910.199,         41.700,   39511751.523,  328442193.589,         36.100,,,,,,
I02, 2025-01-06 00:01:00.000,   39511095.258,  155050320.615,         44.500,   39511091.570,  328436708.213,         36.700,,,,,,
I02, 2025-01-06 00:01:30.000,   39510421.063,  155047675.315,         43.200,   39510417.578,  328431104.803,         37.300,,,,,,
I02, 2025-01-06 00:02:00.000,   39509732.883,  155044974.513,         43.800,   39509729.422,  328425383.825,         37.200,,,,,,
I02, 2025-01-06 00:02:30.000,   39509030.289,  155042218.181,         42.500,   39509027.168,  328419545.243,         37.900,,,,,,
I02, 2025-01-06 00:03:00.000,   39508314.141,  155039405.912,         44.900,   39508310.480,  328413588.156,         37.700,,,,,,
I02, 2025-01-06 00:03:30.000,   39507583.469,  155036538.181,         42.700,   39507579.918,  328407513.569,         37.400,,,,,,
I02, 2025-01-06 00:04:00.000,   39506838.367,  155033615.103,         42.700,   39506835.297,  328401321.790,         37.600,,,,,,
I02, 2025-01-06 00:04:30.000,   39506079.758,  155030636.863,         43.900,   39506076.574,  328395013.135,         38.700,,,,,,
I02, 2025-01-06 00:05:00.000,   39505306.258,  155027602.701,         44.600,   39505303.660,  328388586.043,         37.500,,,,,,
I02, 2025-01-06 00:05:30.000,   39504518.844,  155024513.634,         44.500,   39504516.613,  328382042.630,         37.800,,,,,,
I02, 2025-01-06 00:06:00.000,   39503718.055,  155021369.425,         44.700,   39503715.063,  328375382.416,         38.100,,,,,,
I02, 2025-01-06 00:06:30.000,   39502902.086,  155018169.269,         43.900,   39502899.430,  328368603.721,         38.100,,,,,,
I02, 2025-01-06 00:07:00.000,   39502073.188,  155014914.669,         44.700,   39502069.660,  328361709.676,         37.700,,,,,,
I02, 2025-01-06 00:07:30.000,   39501229.570,  155011604.714,         46.300,   39501226.113,  328354698.377,         37.700,,,,,,
I02, 2025-01-06 00:08:00.000,   39500372.336,  155008239.921,         46.000,   39500368.637,  328347570.910,         36.800,,,,,,
I02, 2025-01-06 00:08:30.000,   39499501.031,  155004820.289,         45.300,   39499496.879,  328340327.306,         36.300,,,,,,
I02, 2025-01-06 00:09:00.000,   39498615.602,  155001345.832,         45.100,   39498611.328,  328332967.550,         36.100,,,,,,
I02, 2025-01-06 00:09:30.000,   39497716.102,  154997816.716,         44.500,   39497711.852,  328325492.018,         36.000,,,,,,
I02, 2025-01-06 00:10:00.000,   39496803.172,  154994232.303,         43.800,   39496798.398,  328317899.340,         36.400,,,,,,
