> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C1Z,L1Z,S1Z,C2X,L2X,S2X,C5X,L5X,S5X
  J02, 2025-01-03 00:29:30.000,40698168.28,213870237.3,32.7,40698167.15,213870399.3,37.1,               ,               ,               ,               ,               ,               ,40698171.38,159708433.6,36
  J02, 2025-01-03 00:30:00.000,40697813.44,213868372.8,34.5,40697811.75,213868534.8,37.1,40697808.31,213868434.6,34,40697821.06,166650823.8,33.6,40697818.94,159707041.3,35.1
  J02, 2025-01-03 00:30:30.000,40697463.47,213866530.3,33.3,40697461.64,213866692.2,36.8,40697458.17,213866592.1,33.6,40697470.06,166649388.1,32.7,40697468.57,159705665.4,35.8
  J02, 2025-01-03 00:31:00.000,40697116.38,213864709.6,32.2,40697114.73,213864871.7,37.1,40697111.48,213864771.5,31.8,40697123.58,166647969.4,32.9,40697122.14,159704305.8,35
  J02, 2025-01-03 00:31:30.000,40696774,213862911.4,33.1,40696772.86,213863073.4,37,40696769.37,213862973.3,32.9,40696781.95,166646568.2,33.4,40696779.68,159702963,35.3
  J02, 2025-01-03 00:32:00.000,40696436.34,               ,32.2,40696434.72,213861297.5,36.8,40696431.24,               ,33.3,40696443.7,166645184.3,33.5,40696441.76,159701636.8,35.7
  J02, 2025-01-03 00:32:30.000,40696102.67,213859382.3,33.6,40696100.79,213859544.3,37.1,40696098.08,213859444.2,34.4,40696110.43,166643818.2,33,40696108.1,159700327.6,36.2
  J02, 2025-01-03 00:33:00.000,40695773.11,213857651.8,31.2,40695771.21,213857813.8,37.1,40695767.65,213857713.7,32.3,40695780.84,166642469.7,33.3,40695778.9,159699035.3,35.5
  J02, 2025-01-03 00:33:30.000,40695448.06,213855944.2,32.2,40695446.76,213856106.2,37.3,40695443.25,213856006,33,40695455.72,166641139.1,32.8,40695453.96,159697760.1,36.3
  J02, 2025-01-03 00:34:00.000,40695128.05,213854259.6,32,40695126.15,213854421.6,37.3,40695122.93,213854321.5,34.8,40695135.38,166639826.4,33.5,40695133.09,159696502.2,35.7
  J02, 2025-01-03 00:34:30.000,40694811.48,213852598.3,32.9,40694809.64,213852760.3,37.1,40694806.27,213852660.1,34,40694819.11,166638531.8,32.1,40694816.97,159695261.5,35.7
  J02, 2025-01-03 00:35:00.000,40694499.52,213850960.6,36,40694498.33,213851122.6,37.7,40694494.92,213851022.5,34.7,40694507.38,166637255.7,31.1,40694505.66,159694038.6,34.8
  J02, 2025-01-03 00:35:30.000,40694192.8,213849346.7,33.6,40694191.17,213849508.7,37.4,40694187.65,213849408.5,34.9,40694200.45,166635998.1,32.6,40694198.42,159692833.4,35.4
  J02, 2025-01-03 00:36:00.000,40693890.36,213847756.6,34,40693889.09,213847918.6,37.6,40693885.03,213847818.5,34.4,40693897.72,166634759.1,32.9,40693895.88,159691646,35.2
  J02, 2025-01-03 00:36:30.000,40693592.7,213846190.4,35.8,40693590.51,213846352.5,37.7,40693586.97,213846252.3,35.5,40693600.08,166633538.7,32.7,40693597.61,159690476.4,35.1
  J02, 2025-01-03 00:37:00.000,40693298.98,213844648.3,33.5,40693297.19,213844810.3,37.7,40693293.93,213844710.1,34.9,40693306.29,166632337,32.6,40693304.22,159689324.8,35.7
  J02, 2025-01-03 00:37:30.000,40693010.48,213843130.6,33.6,40693008.65,213843292.6,36.9,40693005.04,213843192.5,34.2,40693017.79,166631154.3,32.2,40693015.06,159688191.5,34.3
  J02, 2025-01-03 00:38:00.000,40692726.02,213841637.5,35,40692724.61,213841799.5,37.1,40692721,213841699.4,33.9,40692733.29,166629990.9,31.8,40692730.7,159687076.4,34.1
  J02, 2025-01-03 00:38:30.000,40692446.64,213840169,34.6,40692445.17,213840331,38,40692441.11,213840230.8,36,40692453.83,166628846.6,33.7,40692451.5,159685979.8,35.2
  J02, 2025-01-03 00:39:00.000,40692172.11,213838725.2,36,40692170.23,213838887.2,38.2,40692166.95,213838787.1,35.4,40692179.02,166627721.6,33.4,40692176.53,159684901.7,34.7
  J02, 2025-01-03 00:39:30.000,40691901.89,213837306.6,34.6,40691900.22,213837468.6,37.9,40691896.96,213837368.5,34.4,40691909.09,166626616.1,34.1,40691906.73,159683842.3,35.2
  J02, 2025-01-03 00:40:00.000,40691636.8,213835913.6,33.7,40691634.96,213836075.6,37.5,40691631.51,213835975.5,34.2,40691644.34,166625530.6,34.3,40691641.75,159682802.1,35
  J02, 2025-01-03 00:40:30.000,40691376.83,213834545.8,32.6,40691374.88,213834707.8,37.5,40691371.59,213834607.6,33.1,40691384.26,166624464.8,35,40691381.5,159681780.6,35.2
  J02, 2025-01-03 00:41:00.000,40691121.31,213833203.6,32.4,40691120.36,213833365.5,37.1,40691115.99,213833265.4,33.5,40691128.98,166623418.9,35.3,40691125.93,159680778.3,35.4
  J02, 2025-01-03 00:41:30.000,40690870.66,213831887,34.3,40690869.15,213832049,37.6,40690866.04,213831948.9,33.7,40690878.02,166622393,35.1,40690875.54,159679795.1,35.5
