> PRN,time,C1C,L1C,S1C,C1P,L1P,S1P,C2C,L2C,S2C,C2P,L2P,S2P,C3X,L3X,S3X
  R01, 2025-01-06 00:00:00.000,20535448.28,109773796,46.3,20535446.93,109773798,44.8,20535451.47,85379657.45,41.4,20535451.81,85379643.45,40.1,,,
  R01, 2025-01-06 00:00:30.000,20534338.43,109767863.7,45.7,20534337.06,109767865.7,45.4,20534341.73,85375043.39,41.9,20534342.25,85375029.39,40.1,,,
  R01, 2025-01-06 00:01:00.000,20533245.04,109762019,46.2,20533244.03,109762021,44.9,20533248.29,85370497.54,41.5,20533248.54,85370483.54,39.5,,,
  R01, 2025-01-06 00:01:30.000,20532168.38,109756262.8,46.6,20532167.11,109756264.8,44.7,20532171.69,85366020.5,42,20532172.04,85366006.5,40.1,,,
  R01, 2025-01-06 00:02:00.000,20531107.91,109750595.7,46,20531107.1,109750597.7,44.8,20531111.57,85361612.73,42.2,20531111.6,85361598.74,39.4,,,
  R01, 2025-01-06 00:02:30.000,20530064.32,109745017.5,45.7,20530063.57,109745019.5,44.5,20530067.69,85357274.17,41.8,20530068.25,85357260.16,40.3,,,
  R01, 2025-01-06 00:03:00.000,20529038.01,109739528.8,46.1,20529036.73,109739530.8,45.2,20529041.36,85353005.15,41.3,20529041.33,85352991.15,39.7,,,
  R01, 2025-01-06 00:03:30.000,20528027.66,109734130,46.4,20528026.83,109734132,45.7,20528030.79,85348806.12,41.9,20528031.55,85348792.12,39.7,,,
  R01, 2025-01-06 00:04:00.000,20527034.63,109728821.6,46.8,20527033.61,109728823.6,45.5,20527037.67,85344677.35,42,20527038.57,85344663.36,39.2,,,
  R01, 2025-01-06 00:04:30.000,20526058.6,109723604.2,46.5,20526057.77,109723606.2,44.6,20526061.47,85340619.32,42,20526062.18,85340605.34,39.7,,,
  R01, 2025-01-06 00:05:00.000,20525099.97,109718478.3,46.7,20525098.89,109718480.3,45.1,20525103.49,85336632.55,41.6,20525103.4,85336618.55,39.7,,,
  R01, 2025-01-06 00:05:30.000,20524158.31,109713444.3,46.6,20524156.93,109713446.4,44.9,20524161.24,85332717.23,41.2,20524161.75,85332703.25,39.7,,,
  R01, 2025-01-06 00:06:00.000,20523233.77,109708502.8,46.7,20523232.66,109708504.8,45.2,20523236.84,85328873.81,41.7,20523237.21,85328859.82,39.5,,,
  R01, 2025-01-06 00:06:30.000,20522326.68,109703654.1,46.3,20522325.75,109703656.1,45.6,20522330.02,85325102.57,41.6,20522330.39,85325088.57,39.7,,,
  R01, 2025-01-06 00:07:00.000,20521437.04,109698898.6,46.3,20521435.95,109698900.6,45,20521440.06,85321403.88,42.1,20521440.89,85321389.9,39.7,,,
  R01, 2025-01-06 00:07:30.000,20520565.03,109694237.6,46.4,20520564.01,109694239.6,44.9,20520568.39,85317778.66,41.8,20520568.75,85317764.67,39.5,,,
  R01, 2025-01-06 00:08:00.000,20519710.81,109689671.2,45.7,20519709.93,109689673.2,45,20519714.56,85314226.99,41.8,20519714.53,85314212.99,40,,,
  R01, 2025-01-06 00:08:30.000,20518874.52,109685200.3,47.1,20518873.37,109685202.3,45.2,20518877.85,85310749.6,41.4,20518878.19,85310735.6,39.9,,,
  R01, 2025-01-06 00:09:00.000,20518056.07,109680825.1,45.7,20518054.66,109680827.1,45,20518058.97,85307346.71,41.4,20518059.59,85307332.73,39.7,,,
  R01, 2025-01-06 00:09:30.000,20517255.69,109676546.4,46.2,20517254.31,109676548.4,44.6,20517258.84,85304018.82,42,20517259.28,85304004.82,40.2,,,
