> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X,Unnamed: 14,Unnamed: 15,Unnamed: 16
S22, 2025-01-01 00:00:00.000,40368991.8,212140590.2,32.8,,,,,,,,,,,,
S22, 2025-01-01 00:00:30.000,40369487.13,212143200.7,32.4,,,,,,,,,,,,
S22, 2025-01-01 00:01:00.000,40369985.69,212145807.6,32.6,,,,,,,,,,,,
S22, 2025-01-01 00:01:30.000,40370480.92,212148416.1,32.3,,,,,,,,,,,,
S22, 2025-01-01 00:02:00.000,40370974.28,212151018.7,32.4,,,,,,,,,,,,
S22, 2025-01-01 00:02:30.000,40371472.58,212153623.6,32.4,,,,,,,,,,,,
S22, 2025-01-01 00:03:00.000,40371969.02,212156226.1,32.9,,,,,,,,,,,,
S22, 2025-01-01 00:03:30.000,40372464.47,212158835.7,32,,,,,,,,,,,,
S22, 2025-01-01 00:04:00.000,40372955.92,212161437.1,32,,,,,,,,,,,,
S22, 2025-01-01 00:05:00.000,40373942.33,212166632.7,32.6,,,,,,,,,,,,
S22, 2025-01-01 00:05:30.000,40374439.41,212169227,31.3,,,,,,,,,,,,
S22, 2025-01-01 00:06:00.000,40374932.64,212171819.2,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:06:30.000,40375424.81,212174408.8,32.6,,,,,,,,,,,,
S22, 2025-01-01 00:07:00.000,40375919.2,212176996.8,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:07:30.000,40376413.23,212179591.1,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:08:00.000,40376905.25,212182180.5,31.3,,,,,,,,,,,,
S22, 2025-01-01 00:08:30.000,40377399.48,212184764.9,32.4,,,,,,,,,,,,
S22, 2025-01-01 00:09:00.000,40377891.03,212187351.8,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:09:30.000,40378383.92,212189941.6,31.9,,,,,,,,,,,,
S22, 2025-01-01 00:10:00.000,40378871.72,212192528.4,32.8,,,,,,,,,,,,
S22, 2025-01-01 00:10:30.000,40379366.31,212195115.8,31.8,,,,,,,,,,,,
S22, 2025-01-01 00:11:00.000,40379858.03,212197698.6,33.2,,,,,,,,,,,,
S22, 2025-01-01 00:11:30.000,40380346.77,212200283.1,32.6,,,,,,,,,,,,
S22, 2025-01-01 00:12:00.000,40380836.91,212202857.9,32.6,,,,,,,,,,,,
S22, 2025-01-01 00:12:30.000,40381323.63,212205438.2,32,,,,,,,,,,,,
S22, 2025-01-01 00:13:00.000,40381811.06,212208013.7,31.9,,,,,,,,,,,,
S22, 2025-01-01 00:13:30.000,40382303.59,212210587.4,31.9,,,,,,,,,,,,
S22, 2025-01-01 00:14:00.000,40382788.38,212213161.1,32,,,,,,,,,,,,
S22, 2025-01-01 00:14:30.000,40383279.41,212215722.6,31.6,,,,,,,,,,,,
S22, 2025-01-01 00:15:00.000,40383767.61,212218287,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:15:30.000,40384255.39,212220848.8,32.6,,,,,,,,,,,,
S22, 2025-01-01 00:16:00.000,40384744.7,212223413.4,32,,,,,,,,,,,,
S22, 2025-01-01 00:17:30.000,40386207.23,212230957,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:18:00.000,40386700.09,212233508.3,32,,,,,,,,,,,,
S22, 2025-01-01 00:18:30.000,40387182.06,212236067.7,32,,,,,,,,,,,,
S22, 2025-01-01 00:19:30.000,40388158.03,212241177.1,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:20:00.000,40388641.73,212243724.8,32.3,,,,,,,,,,,,
S22, 2025-01-01 00:20:30.000,40389128.38,212246272.6,32.3,,,,,,,,,,,,
S22, 2025-01-01 00:21:00.000,40389610.59,212248816.3,31.9,,,,,,,,,,,,
S22, 2025-01-01 00:21:30.000,40390096.33,212251370,31.8,,,,,,,,,,,,
S22, 2025-01-01 00:22:30.000,40391061.91,212256460.1,32.3,,,,,,,,,,,,
S22, 2025-01-01 00:23:00.000,40391544.72,212258997.5,32.3,,,,,,,,,,,,
S22, 2025-01-01 00:23:30.000,40392033.17,212261540.3,32,,,,,,,,,,,,
S22, 2025-01-01 00:24:00.000,40392509.83,212264076.3,32.5,,,,,,,,,,,,
S22, 2025-01-01 00:24:30.000,40392989.77,212266610.9,31.8,,,,,,,,,,,,
S22, 2025-01-01 00:25:00.000,40393473.61,212269142.8,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:25:30.000,40393953.61,212271673.5,32.5,,,,,,,,,,,,
S22, 2025-01-01 00:26:00.000,40394436.95,212274198.6,31.9,,,,,,,,,,,,
S22, 2025-01-01 00:26:30.000,40394919.86,212276722.5,32.5,,,,,,,,,,,,
S22, 2025-01-01 00:27:00.000,40395400.31,212279243.1,33.5,,,,,,,,,,,,
S22, 2025-01-01 00:27:30.000,40395878.83,212281764.6,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:28:00.000,40396359.22,212284281.5,31.9,,,,,,,,,,,,
S22, 2025-01-01 00:28:30.000,40396836.7,212286805.9,31.6,,,,,,,,,,,,
S22, 2025-01-01 00:29:00.000,40397313.11,212289320.8,32,,,,,,,,,,,,
S22, 2025-01-01 00:29:30.000,40397795.25,212291836,31.9,,,,,,,,,,,,
S22, 2025-01-01 00:30:00.000,40398275.19,212294353.9,32.8,,,,,,,,,,,,
S22, 2025-01-01 00:30:30.000,40398749.83,212296859.3,32.4,,,,,,,,,,,,
S22, 2025-01-01 00:31:00.000,40399233.09,212299367.1,32.4,,,,,,,,,,,,
S22, 2025-01-01 00:31:30.000,40399707.61,212301876,32.8,,,,,,,,,,,,
S22, 2025-01-01 00:32:00.000,40400182.2,212304376.4,32.5,,,,,,,,,,,,
S22, 2025-01-01 00:32:30.000,40400660.17,212306874.9,33,,,,,,,,,,,,
S22, 2025-01-01 00:33:00.000,40401138.41,212309370.9,32.8,,,,,,,,,,,,
S22, 2025-01-01 00:33:30.000,40401607.81,212311867.2,32.3,,,,,,,,,,,,
S22, 2025-01-01 00:34:00.000,40402087.17,212314356.8,33,,,,,,,,,,,,
S22, 2025-01-01 00:34:30.000,40402562.56,212316848.1,32.3,,,,,,,,,,,,
S22, 2025-01-01 00:35:00.000,40403033.72,212319327.8,32.4,,,,,,,,,,,,
S22, 2025-01-01 00:35:30.000,40403513.86,212321812.1,32.3,,,,,,,,,,,,
S22, 2025-01-01 00:36:00.000,40403985.23,212324288.5,32.2,,,,,,,,,,,,
S22, 2025-01-01 00:36:30.000,40404458.8,212326773.8,32.4,,,,,,,,,,,,
S22, 2025-01-01 00:37:00.000,40404929.75,212329260.6,33.2,,,,,,,,,,,,
S22, 2025-01-01 00:37:30.000,40405402.39,212331746.5,32.6,,,,,,,,,,,,
S22, 2025-01-01 00:38:00.000,40405873.47,212334224.3,33,,,,,,,,,,,,
S22, 2025-01-01 00:38:30.000,40406347.22,212336709.9,33,,,,,,,,,,,,
S22, 2025-01-01 00:39:00.000,40406816.3,212339185.5,32.6,,,,,,,,,,,,
S22, 2025-01-01 00:39:30.000,40407289.06,212341660.1,33.1,,,,,,,,,,,,
S22, 2025-01-01 00:40:00.000,40407759.84,212344129.8,33.6,,,,,,,,,,,,
S22, 2025-01-01 00:40:30.000,40408225.56,212346602.2,33.4,,,,,,,,,,,,
S22, 2025-01-01 00:41:00.000,40408695.63,212349065.9,33.7,,,,,,,,,,,,
S22, 2025-01-01 00:41:30.000,40409167.44,212351531.7,33.8,,,,,,,,,,,,
