> PRN,time,C1C,L1C,S1C,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S22, 2025-01-07 00:00:00.000,   40391193.438,  212257167.686,         32.900,,,,,,,,,
S22, 2025-01-07 00:00:30.000,   40391683.375,  212259743.644,         32.600,,,,,,,,,
S22, 2025-01-07 00:01:00.000,   40392171.891,  212262322.104,         31.600,,,,,,,,,
S22, 2025-01-07 00:02:00.000,   40393146.734,  212267468.778,         31.900,,,,,,,,,
S22, 2025-01-07 00:02:30.000,   40393638.453,  212270032.388,         31.800,,,,,,,,,
S22, 2025-01-07 00:03:00.000,   40394121.063,  212272601.138,         32.900,,,,,,,,,
S22, 2025-01-07 00:03:30.000,   40394613.453,  212275156.969,         31.900,,,,,,,,,
S22, 2025-01-07 00:04:00.000,   40395095.938,  212277711.186,         32.200,,,,,,,,,
S22, 2025-01-07 00:04:30.000,   40395587.750,  212280272.053,         32.000,,,,,,,,,
S22, 2025-01-07 00:05:00.000,   40396070.828,  212282829.406,         32.500,,,,,,,,,
S22, 2025-01-07 00:05:30.000,   40396557.500,  212285386.114,         32.000,,,,,,,,,
S22, 2025-01-07 00:06:00.000,   40397043.266,  212287941.751,         33.400,,,,,,,,,
S22, 2025-01-07 00:06:30.000,   40397527.828,  212290493.306,         32.400,,,,,,,,,
S22, 2025-01-07 00:07:00.000,   40398013.922,  212293045.012,         33.000,,,,,,,,,
S22, 2025-01-07 00:07:30.000,   40398499.172,  212295590.969,         32.500,,,,,,,,,
S22, 2025-01-07 00:08:00.000,   40398980.438,  212298128.475,         33.000,,,,,,,,,
S22, 2025-01-07 00:08:30.000,   40399468.859,  212300671.139,         32.400,,,,,,,,,
S22, 2025-01-07 00:09:00.000,   40399951.750,  212303212.107,         33.300,,,,,,,,,
S22, 2025-01-07 00:09:30.000,   40400434.672,  212305745.875,         32.800,,,,,,,,,
S22, 2025-01-07 00:10:00.000,   40400915.047,  212308275.938,         32.600,,,,,,,,,
S22, 2025-01-07 00:10:30.000,   40401398.375,  212310809.961,         31.900,,,,,,,,,
S22, 2025-01-07 00:11:00.000,   40401879.594,  212313342.385,         33.000,,,,,,,,,
S22, 2025-01-07 00:11:30.000,   40402362.547,  212315870.753,         32.300,,,,,,,,,
S22, 2025-01-07 00:12:00.000,   40402841.047,  212318392.253,         32.400,,,,,,,,,
