> PRN,time,C1C,L1C,D1C,S1C,C1W,S1W,C2W,L2W,D2W,S2W,C2L,L2L,D2L,S2L,C5Q,L5Q,D5Q,S5Q,C1L,L1L,D1L,S1L
I01, 2025-01-07 02:32:30.000,  604638156.618,   69589192.829,      -1463.558,         35.648,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:33:00.000,  604649346.275,   69633099.586,      -1462.954,         31.766,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:33:30.000,  604660534.270,   69677002.695,      -1464.377,         29.953,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:34:00.000,  604671721.393,   69720904.655,      -1463.706,         35.443,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:34:30.000,  604682907.950,   69764806.313,      -1463.941,         36.677,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:35:00.000,  604694095.021,   69808705.517,      -1463.050,         36.597,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:35:30.000,  604705282.498,   69852605.529,      -1463.919,         38.294,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:36:00.000,  604716467.719,   69896501.343,      -1463.211,         35.924,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:36:30.000,  604727655.597,   69940399.759,      -1462.845,         36.688,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:37:00.000,  604738840.084,   69984295.050,      -1463.185,         35.714,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:37:30.000,  604750027.390,   70028191.842,      -1463.427,         38.754,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:38:00.000,  604761213.809,   70072087.910,      -1463.326,         36.151,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:38:30.000,  604772399.494,   70115984.122,      -1463.280,         35.800,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:39:00.000,  604783584.344,   70159878.938,      -1462.096,         37.883,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:39:30.000,  604794770.071,   70203775.617,      -1463.397,         37.565,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:40:00.000,  604805955.697,   70247671.239,      -1462.618,         38.285,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:40:30.000,  604817143.041,   70291567.426,      -1463.727,         39.147,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:41:00.000,  604828329.255,   70335465.508,      -1462.925,         36.435,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:41:30.000,  604839515.132,   70379361.393,      -1462.964,         36.575,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:42:00.000,  604850703.053,   70423263.168,      -1464.467,         40.298,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:42:30.000,  604861889.033,   70467161.704,      -1462.963,         41.104,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:43:00.000,  604873075.825,   70511063.346,      -1462.712,         40.384,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:43:30.000,  604884264.643,   70554965.695,      -1463.455,         40.493,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:44:00.000,  604895452.097,   70598868.393,      -1463.134,         38.751,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:44:30.000,  604906639.014,   70642773.258,      -1463.597,         36.586,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:45:00.000,  604917827.757,   70686680.439,      -1463.425,         34.067,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:45:30.000,  604929017.618,   70730590.492,      -1463.807,         34.738,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:46:00.000,  604940206.887,   70774501.908,      -1464.469,         33.581,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:46:30.000,  604951398.747,   70818415.575,      -1463.452,         36.476,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:47:00.000,  604962589.770,   70862329.815,      -1464.170,         36.866,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:47:30.000,  604973780.649,   70906248.795,      -1464.429,         35.919,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:48:00.000,  604984972.326,   70950167.977,      -1463.572,         36.102,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:48:30.000,  604996165.893,   70994091.612,      -1465.349,         36.295,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:49:00.000,  605007360.066,   71038016.586,      -1464.164,         37.629,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:49:30.000,  605018555.187,   71081945.772,      -1464.396,         38.679,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:50:00.000,  605029749.941,   71125877.352,      -1464.388,         39.060,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:50:30.000,  605040944.927,   71169812.443,      -1464.547,         38.868,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:51:00.000,  605052142.452,   71213752.921,      -1464.476,         38.736,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:51:30.000,  605063339.338,   71257693.734,      -1465.088,         37.406,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:52:00.000,  605074539.081,   71301640.900,      -1466.015,         37.055,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:52:30.000,  605085738.297,   71345591.859,      -1465.416,         37.077,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:53:00.000,  605096940.070,   71389545.097,      -1465.552,         38.643,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:53:30.000,  605108142.085,   71433504.186,      -1465.634,         40.276,,,,,,,,,,,,,,,,,,
I01, 2025-01-07 02:54:00.000,  605119344.967,   71477465.840,      -1464.638,         39.174,,,,,,,,,,,,,,,,,,
