> PRN,"	                    time","	            C1C","	            L1C","	            D1C","	            S1C","	            C2L","	            L2L","	            D2L","	            S2L","	            C5Q","	            L5Q","	            D5Q","	            S5Q","	            C1L","	            L1L","	            D1L","	            S1L","	            C1Z","	            L1Z","	            D1Z","	            S1Z","	            C5P","	            L5P","	            D5P","	            S5P"
  J02, 2025-01-21 00:00:00.000,39426207.63,207186167.5,-1992.002,40.858,39426212.44,161443823.6,-1552.122,40.987,39426214.15,154717005.5,-1487.483,45.132,39426207.49,207186171.5,-1991.914,40.911,39426204.18,207186153.8,-1991.942,41.054,39426210.94,154716993.5,-1487.372,41.445
  J02, 2025-01-21 00:00:30.000,39437582.38,207245939.5,-1992.033,41.185,39437586.24,161490399,-1552.077,40.706,39437588.44,154761640.3,-1487.532,44.915,39437582.2,207245943.5,-1991.927,41.418,39437579.03,207245925.8,-1991.811,41.933,39437585.22,154761628.3,-1487.418,41.316
  J02, 2025-01-21 00:01:00.000,39448956.11,207305709.2,-1991.422,41.018,39448959.88,161536972.7,-1551.534,40.839,39448962.23,154806273.3,-1486.923,44.885,39448956.03,207305713.2,-1991.263,41.468,39448952.85,207305695.5,-1991.246,41.487,39448959.06,154806261.4,-1486.987,41.566
  J02, 2025-01-21 00:01:30.000,39460329.59,207365477.9,-1992.05,40.541,39460334.25,161583545.6,-1552.315,41.12,39460336.03,154850905.7,-1487.659,45.007,39460329.49,207365481.9,-1992.103,40.672,39460326.35,207365464.2,-1992.098,41.02,39460332.82,154850893.7,-1487.542,41.626
  J02, 2025-01-21 00:02:00.000,39471703.62,207425248.1,-1992.327,40.474,39471708.14,161630119.7,-1552.405,41.03,39471709.89,154895539.2,-1487.776,44.873,39471703.75,207425252.1,-1992.348,41.111,39471700.29,207425234.4,-1992.23,41.077,39471706.5,154895527.2,-1487.76,41.495
  J02, 2025-01-21 00:02:30.000,39483077.22,207485016.8,-1990.779,40.613,39483081.88,161676692.6,-1551.311,40.913,39483083.63,154940171.6,-1486.629,44.898,39483077.27,207485020.8,-1990.783,41.294,39483074.14,207485003.1,-1990.889,41.035,39483080.32,154940159.6,-1486.741,41.483
  J02, 2025-01-21 00:03:00.000,39494450.53,207544784.5,-1992.075,40.224,39494455.34,161723264.7,-1552.286,40.734,39494457.13,154984803.1,-1487.614,44.698,39494450.63,207544788.5,-1992.08,40.858,39494447.55,207544770.8,-1992.206,40.61,39494453.82,154984791.1,-1487.703,41.189
  J02, 2025-01-21 00:03:30.000,39505823.9,207604551.6,-1991.701,40.484,39505828.51,161769836.4,-1551.915,40.93,39505830.81,155029434.3,-1487.292,44.817,39505823.86,207604555.6,-1991.741,40.894,39505820.87,207604537.9,-1991.766,40.784,39505827.52,155029422.3,-1487.276,41.554
  J02, 2025-01-21 00:04:00.000,39517197.15,207664317.4,-1991.559,40.513,39517202.1,161816407.1,-1551.881,41.137,39517203.91,155074064.5,-1487.24,44.754,39517197.3,207664321.4,-1991.589,41.004,39517194,207664303.7,-1991.691,41.113,39517200.51,155074052.5,-1487.247,41.433
  J02, 2025-01-21 00:04:30.000,39528569.99,207724081.5,-1992.064,40.431,39528574.92,161862976.3,-1552.026,41.282,39528576.58,155118693.4,-1487.353,44.585,39528569.95,207724085.5,-1991.672,41.178,39528566.83,207724067.7,-1991.645,41.111,39528573.28,155118681.4,-1487.251,41.251
  J02, 2025-01-21 00:05:00.000,39539942.4,207783843.3,-1992.28,40.594,39539946.77,161909543.9,-1552.426,40.789,39539949.04,155163320.6,-1487.862,44.602,39539942.24,207783847.3,-1992.347,41.008,39539939.17,207783829.6,-1992.269,40.749,39539945.72,155163308.6,-1487.85,41.22
  J02, 2025-01-21 00:05:30.000,39551314.6,207843602.3,-1992.15,40.601,39551318.84,161956109.2,-1552.466,40.646,39551320.94,155207945.7,-1487.651,44.916,39551314.47,207843606.3,-1992.18,40.996,39551311.35,207843588.6,-1992.161,41.189,39551317.68,155207933.7,-1487.755,41.318
  J02, 2025-01-21 00:06:00.000,39562685.37,207903358.9,-1991.618,40.374,39562690.4,162002672.7,-1551.925,41.247,39562692.49,155252569,-1487.26,44.694,39562685.46,207903362.9,-1991.586,40.474,39562682.48,207903345.2,-1991.623,40.679,39562689.21,155252557,-1487.315,41.604
  J02, 2025-01-21 00:06:30.000,39574056.17,207963112.4,-1991.863,40.336,39574060.99,162049233.8,-1552.133,40.865,39574063.32,155297190,-1487.457,44.555,39574056.19,207963116.4,-1991.863,40.722,39574053.04,207963098.7,-1992.117,40.863,39574059.91,155297178,-1487.389,41.542
  J02, 2025-01-21 00:07:00.000,39585453.3,208023003,-1989.557,40.665,39585458.44,162095901.7,-1550.252,41.042,39585460.15,155341913.3,-1485.599,44.599,39585453.54,208023007,-1989.533,40.899,39585450.16,208022989.3,-1989.452,41.061,39585456.9,155341901.4,-1485.744,41.43
