> PRN,time,C1C,L1C,S1C,C1W,S1W,C2W,L2W,S2W,C2L,L2L,S2L,C5Q,L5Q,S5Q,C1L,L1L,S1L
I01, 2025-01-23 00:00:00.000,   39119025.922,  153511735.854,         44.125,,,,,,,,,,,,,,
I01, 2025-01-23 00:00:30.000,   39132514.491,  153564668.840,         44.312,,,,,,,,,,,,,,
I01, 2025-01-23 00:01:00.000,   39146001.200,  153617592.549,         44.062,,,,,,,,,,,,,,
I01, 2025-01-23 00:01:30.000,   39159484.717,  153670505.672,         44.438,,,,,,,,,,,,,,
I01, 2025-01-23 00:02:00.000,   39172965.705,  153723407.904,         44.188,,,,,,,,,,,,,,
I01, 2025-01-23 00:02:30.000,   39186444.616,  153776301.879,         44.250,,,,,,,,,,,,,,
I01, 2025-01-23 00:03:00.000,   39199920.215,  153829182.391,         44.406,,,,,,,,,,,,,,
I01, 2025-01-23 00:03:30.000,   39213394.316,  153882057.512,         44.375,,,,,,,,,,,,,,
I01, 2025-01-23 00:04:00.000,   39226864.847,  153934919.900,         44.406,,,,,,,,,,,,,,
I01, 2025-01-23 00:04:30.000,   39240333.888,  153987774.461,         44.281,,,,,,,,,,,,,,
I01, 2025-01-23 00:05:00.000,   39253800.310,  154040618.817,         44.312,,,,,,,,,,,,,,
I01, 2025-01-23 00:05:30.000,   39267264.394,  154093454.536,         44.125,,,,,,,,,,,,,,
I01, 2025-01-23 00:06:00.000,   39280726.090,  154146281.189,         44.031,,,,,,,,,,,,,,
I01, 2025-01-23 00:06:30.000,   39294185.085,  154199097.664,         44.156,,,,,,,,,,,,,,
I01, 2025-01-23 00:07:00.000,   39307642.311,  154251906.725,         44.250,,,,,,,,,,,,,,
I01, 2025-01-23 00:07:30.000,   39321097.681,  154304708.018,         44.281,,,,,,,,,,,,,,
I01, 2025-01-23 00:08:00.000,   39334551.086,  154357500.608,         44.562,,,,,,,,,,,,,,
I01, 2025-01-23 00:08:30.000,   39348002.003,  154410285.542,         44.562,,,,,,,,,,,,,,
I01, 2025-01-23 00:09:00.000,   39361450.604,  154463061.288,         44.219,,,,,,,,,,,,,,
I01, 2025-01-23 00:09:30.000,   39374897.486,  154515829.399,         43.969,,,,,,,,,,,,,,
I01, 2025-01-23 00:10:00.000,   39388342.891,  154568592.446,         43.406,,,,,,,,,,,,,,
I01, 2025-01-23 00:10:30.000,   39401785.897,  154621344.534,         43.875,,,,,,,,,,,,,,
I01, 2025-01-23 00:11:00.000,   39415227.081,  154674091.067,         43.781,,,,,,,,,,,,,,
I01, 2025-01-23 00:11:30.000,   39428666.380,  154726829.362,         43.750,,,,,,,,,,,,,,
I01, 2025-01-23 00:12:00.000,   39442104.075,  154779561.967,         43.531,,,,,,,,,,,,,,
I01, 2025-01-23 00:12:30.000,   39455540.102,  154832287.601,         43.562,,,,,,,,,,,,,,
I01, 2025-01-23 00:13:00.000,   39468973.882,  154885006.070,         43.781,,,,,,,,,,,,,,
I01, 2025-01-23 00:13:30.000,   39482406.473,  154937717.685,         43.875,,,,,,,,,,,,,,
I01, 2025-01-23 00:14:00.000,   39495837.454,  154990424.211,         44.094,,,,,,,,,,,,,,
I01, 2025-01-23 00:14:30.000,   39509266.980,  155043124.611,         44.094,,,,,,,,,,,,,,
I01, 2025-01-23 00:15:00.000,   39522694.682,  155095818.507,         43.938,,,,,,,,,,,,,,
I01, 2025-01-23 00:15:30.000,   39536120.653,  155148504.741,         44.250,,,,,,,,,,,,,,
I01, 2025-01-23 00:16:00.000,   39549546.012,  155201189.809,         44.188,,,,,,,,,,,,,,
