> PRN,"	                    time","	            C1C","	            L1C","	            S1C","	            C2L","	            L2L","	            S2L","	            C5Q","	            L5Q","	            S5Q","	            C1L","	            L1L","	            S1L","	            C1Z","	            L1Z","	            S1Z","	            C5P	            L5P","	            S5P",
  J02, 2025-01-27 01:39:30.000,41605294.16,218637289.1,37.188,41605296.98,170366736.1,39.438,41605294.7,163268114.8,32.906,41605293.67,218637291.1,37.906,41605290.02,218637272.9,38.281,               ,               ,               
  J02, 2025-01-27 01:40:00.000,41608783.92,218655628.3,38.031,41608787.1,170381026.2,38.812,41608784.92,163281809.4,32.5,41608783.88,218655630.3,38.562,41608780.32,218655612.1,38.719,41608781.6,163281795.1,29.312
  J02, 2025-01-27 01:40:30.000,41612275.64,218673979.4,38.531,41612279.73,170395325.6,39.094,41612276.7,163295513,32.156,41612276.17,218673981.4,38.75,41612273.07,218673963.2,39.406,41612273.36,163295498.7,29.5
  J02, 2025-01-27 01:41:00.000,41615770.77,218692347.1,38.344,41615774.69,170409638,38.812,41615772.19,163309229.1,31.938,41615771.28,218692349.1,38.25,41615767.8,218692330.9,38.75,41615768.97,163309214.7,28.562
  J02, 2025-01-27 01:41:30.000,41619269.14,218710728.4,36.906,41619273,170423961,38.219,41619270.55,163322955.2,31.656,41619269.08,218710730.4,37.688,41619265.13,218710712.2,37.438,41619266.65,163322940.9,28.469
  J02, 2025-01-27 01:42:00.000,41622769.52,218729121.2,36.656,41622773.55,170438292.8,37.781,41622770.61,163336689.9,32,41622768.92,218729123.1,36.875,41622764.94,218729104.9,37.344,41622767.39,163336675.5,28.875
  J02, 2025-01-27 01:42:30.000,41626272.57,218747528,37.094,41626276.19,170452635.7,37.094,41626273.67,163350435.1,32.312,41626271.92,218747530,36.938,41626267.87,218747511.8,37.25,41626270.12,163350420.7,29.375
  J02, 2025-01-27 01:43:00.000,41629777.46,218765948.7,36.844,41629782.05,170466989.3,37.188,41629779.39,163364190.7,32.344,41629777.22,218765950.7,37.344,41629773.7,218765932.5,37.812,41629776.01,163364176.3,29.375
  J02, 2025-01-27 01:43:30.000,41633285.49,218784381.5,37.625,41633289.68,170481352.5,37.562,41633287.2,163377955.3,32.281,41633285.05,218784383.5,38.094,41633281.61,218784365.3,38.375,41633283.94,163377940.9,29.688
  J02, 2025-01-27 01:44:00.000,41636795.46,218802827.1,38.188,41636800.08,170495725.5,38.531,41636797.64,163391729.4,32.625,41636795.49,218802829.1,38.344,41636791.95,218802810.9,38.875,41636794.52,163391715,29.656
  J02, 2025-01-27 01:44:30.000,41640308.43,218821286.1,38.469,41640312.64,170510109,39.188,41640310.6,163405513.6,32.656,41640308.33,218821288.1,38.25,41640304.92,218821269.9,38.844,41640306.93,163405499.2,30.156
  J02, 2025-01-27 01:45:00.000,41643823.13,218839757.2,38.562,41643827.56,170524502,39.656,41643825.73,163419306.8,33.031,41643823.33,218839759.2,38.719,41643820.12,218839741.1,38.906,41643822,163419292.5,29.438
