> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-22 00:00:00.000,   39027219.781,  153151250.074,         43.200,,,,,,,,,,,,
I02, 2025-01-22 00:00:30.000,   39024940.063,  153142308.127,         43.500,,,,,,,,,,,,
I02, 2025-01-22 00:01:00.000,   39022649.969,  153133324.375,         43.400,,,,,,,,,,,,
I02, 2025-01-22 00:01:30.000,   39020351.023,  153124299.296,         42.600,,,,,,,,,,,,
I02, 2025-01-22 00:02:00.000,   39018041.219,  153115233.507,         42.500,,,,,,,,,,,,
I02, 2025-01-22 00:02:30.000,   39015719.500,  153106125.763,         42.000,,,,,,,,,,,,
I02, 2025-01-22 00:03:00.000,   39013388.719,  153096977.553,         41.800,,,,,,,,,,,,
I02, 2025-01-22 00:03:30.000,   39011046.125,  153087788.398,         41.700,,,,,,,,,,,,
I02, 2025-01-22 00:04:00.000,   39008694.477,  153078558.705,         41.400,,,,,,,,,,,,
I02, 2025-01-22 00:04:30.000,   39006331.609,  153069287.955,         40.800,,,,,,,,,,,,
I02, 2025-01-22 00:05:00.000,   39003958.438,  153059976.742,         41.600,,,,,,,,,,,,
I02, 2025-01-22 00:05:30.000,   39001575.875,  153050625.179,         41.600,,,,,,,,,,,,
I02, 2025-01-22 00:06:00.000,   38999182.531,  153041233.895,         41.200,,,,,,,,,,,,
I02, 2025-01-22 00:06:30.000,   38996779.016,  153031802.078,         40.400,,,,,,,,,,,,
I02, 2025-01-22 00:07:00.000,   38994365.398,  153022330.341,         41.700,,,,,,,,,,,,
I02, 2025-01-22 00:07:30.000,   38991942.016,  153012818.333,         41.100,,,,,,,,,,,,
I02, 2025-01-22 00:08:00.000,   38989508.008,  153003266.717,         41.800,,,,,,,,,,,,
I02, 2025-01-22 00:08:30.000,   38987064.617,  152993675.702,         41.500,,,,,,,,,,,,
I02, 2025-01-22 00:09:00.000,   38984609.516,  152984044.247,         41.300,,,,,,,,,,,,
I02, 2025-01-22 00:09:30.000,   38982145.414,  152974374.010,         41.800,,,,,,,,,,,,
I02, 2025-01-22 00:10:00.000,   38979670.273,  152964664.343,         41.300,,,,,,,,,,,,
I02, 2025-01-22 00:10:30.000,   38977187.180,  152954915.330,         41.300,,,,,,,,,,,,
I02, 2025-01-22 00:11:00.000,   38974692.180,  152945127.232,         41.400,,,,,,,,,,,,
I02, 2025-01-22 00:11:30.000,   38972188.313,  152935300.660,         41.100,,,,,,,,,,,,
I02, 2025-01-22 00:12:00.000,   38969674.641,  152925435.149,         42.600,,,,,,,,,,,,
I02, 2025-01-22 00:12:30.000,   38967150.727,  152915530.708,         40.900,,,,,,,,,,,,
I02, 2025-01-22 00:13:00.000,   38964617.531,  152905587.428,         42.100,,,,,,,,,,,,
I02, 2025-01-22 00:13:30.000,   38962073.484,  152895606.618,         41.700,,,,,,,,,,,,
I02, 2025-01-22 00:14:00.000,   38959520.328,  152885587.096,         41.400,,,,,,,,,,,,
I02, 2025-01-22 00:14:30.000,   38956956.914,  152875529.233,         42.300,,,,,,,,,,,,
I02, 2025-01-22 00:15:00.000,   38954384.297,  152865433.579,         41.600,,,,,,,,,,,,
I02, 2025-01-22 00:15:30.000,   38951802.484,  152855299.636,         41.200,,,,,,,,,,,,
I02, 2025-01-22 00:16:00.000,   38949210.047,  152845128.419,         42.300,,,,,,,,,,,,
I02, 2025-01-22 00:16:30.000,   38946609.180,  152834919.041,         40.400,,,,,,,,,,,,
I02, 2025-01-22 00:17:00.000,   38943997.203,  152824671.906,         41.800,,,,,,,,,,,,
I02, 2025-01-22 00:17:30.000,   38941376.688,  152814388.050,         41.400,,,,,,,,,,,,
I02, 2025-01-22 00:18:00.000,   38938746.969,  152804066.971,         42.000,,,,,,,,,,,,
I02, 2025-01-22 00:18:30.000,   38936106.602,  152793708.321,         40.900,,,,,,,,,,,,
I02, 2025-01-22 00:19:00.000,   38933457.781,  152783312.772,         42.200,,,,,,,,,,,,
I02, 2025-01-22 00:19:30.000,   38930799.859,  152772880.188,         42.400,,,,,,,,,,,,
I02, 2025-01-22 00:20:00.000,   38928131.484,  152762410.581,         42.000,,,,,,,,,,,,
I02, 2025-01-22 00:20:30.000,   38925453.469,  152751904.914,         42.000,,,,,,,,,,,,
I02, 2025-01-22 00:21:00.000,   38922767.656,  152741362.825,         41.700,,,,,,,,,,,,
I02, 2025-01-22 00:21:30.000,   38920071.609,  152730783.984,         42.300,,,,,,,,,,,,
I02, 2025-01-22 00:22:00.000,   38917366.984,  152720168.678,         40.900,,,,,,,,,,,,
I02, 2025-01-22 00:22:30.000,   38914652.773,  152709517.593,         42.300,,,,,,,,,,,,
I02, 2025-01-22 00:23:00.000,   38911929.125,  152698830.710,         42.100,,,,,,,,,,,,
I02, 2025-01-22 00:23:30.000,   38909196.547,  152688107.956,         41.300,,,,,,,,,,,,
I02, 2025-01-22 00:24:00.000,   38906454.578,  152677349.622,         41.400,,,,,,,,,,,,
I02, 2025-01-22 00:24:30.000,   38903704.555,  152666555.980,         40.400,,,,,,,,,,,,
I02, 2025-01-22 00:25:00.000,   38900944.695,  152655726.886,         39.600,,,,,,,,,,,,
I02, 2025-01-22 00:25:30.000,   38898176.656,  152644862.350,         40.900,,,,,,,,,,,,
I02, 2025-01-22 00:26:00.000,   38895399.141,  152633963.083,         39.800,,,,,,,,,,,,
I02, 2025-01-22 00:26:30.000,   38892612.727,  152623028.213,         42.100,,,,,,,,,,,,
I02, 2025-01-22 00:27:00.000,   38889817.859,  152612058.904,         41.100,,,,,,,,,,,,
I02, 2025-01-22 00:27:30.000,   38887013.398,  152601054.926,         39.900,,,,,,,,,,,,
I02, 2025-01-22 00:28:00.000,   38884199.969,  152590016.451,         42.100,,,,,,,,,,,,
I02, 2025-01-22 00:28:30.000,   38881378.750,  152578943.180,         40.200,,,,,,,,,,,,
I02, 2025-01-22 00:29:00.000,   38878548.023,  152567836.072,         41.700,,,,,,,,,,,,
I02, 2025-01-22 00:29:30.000,   38875708.609,  152556694.645,         41.200,,,,,,,,,,,,
I02, 2025-01-22 00:30:00.000,   38872860.609,  152545519.066,         41.100,,,,,,,,,,,,
I02, 2025-01-22 00:30:30.000,   38870003.969,  152534309.212,         41.100,,,,,,,,,,,,
I02, 2025-01-22 00:31:00.000,   38867138.766,  152523065.736,         41.300,,,,,,,,,,,,
I02, 2025-01-22 00:31:30.000,   38864265.180,  152511788.902,         39.300,,,,,,,,,,,,
I02, 2025-01-22 00:32:00.000,   38861383.398,  152500478.746,         41.900,,,,,,,,,,,,
I02, 2025-01-22 00:32:30.000,   38858492.648,  152489135.303,         40.900,,,,,,,,,,,,
I02, 2025-01-22 00:33:00.000,   38855594.094,  152477758.208,         41.000,,,,,,,,,,,,
I02, 2025-01-22 00:33:30.000,   38852686.047,  152466348.565,         40.800,,,,,,,,,,,,
I02, 2025-01-22 00:34:00.000,   38849770.805,  152454905.529,         42.600,,,,,,,,,,,,
I02, 2025-01-22 00:34:30.000,   38846846.148,  152443430.091,         42.000,,,,,,,,,,,,
I02, 2025-01-22 00:35:00.000,   38843914.664,  152431922.191,         42.200,,,,,,,,,,,,
I02, 2025-01-22 00:35:30.000,   38840973.391,  152420381.844,         42.800,,,,,,,,,,,,
I02, 2025-01-22 00:36:00.000,   38838024.430,  152408808.982,         42.800,,,,,,,,,,,,
I02, 2025-01-22 00:36:30.000,   38835066.922,  152397203.927,         42.000,,,,,,,,,,,,
I02, 2025-01-22 00:37:00.000,   38832102.109,  152385566.454,         43.200,,,,,,,,,,,,
I02, 2025-01-22 00:37:30.000,   38829128.375,  152373897.274,         42.700,,,,,,,,,,,,
I02, 2025-01-22 00:38:00.000,   38826145.930,  152362195.857,         42.600,,,,,,,,,,,,
I02, 2025-01-22 00:38:30.000,   38823156.703,  152350462.922,         42.600,,,,,,,,,,,,
I02, 2025-01-22 00:39:00.000,   38820157.727,  152338698.538,         42.800,,,,,,,,,,,,
I02, 2025-01-22 00:39:30.000,   38817152.758,  152326902.908,         42.300,,,,,,,,,,,,
I02, 2025-01-22 00:40:00.000,   38814139.063,  152315076.208,         42.900,,,,,,,,,,,,
I02, 2025-01-22 00:40:30.000,   38811116.992,  152303218.538,         42.600,,,,,,,,,,,,
I02, 2025-01-22 00:41:00.000,   38808086.766,  152291329.830,         43.000,,,,,,,,,,,,
I02, 2025-01-22 00:41:30.000,   38805049.906,  152279410.282,         42.800,,,,,,,,,,,,
I02, 2025-01-22 00:42:00.000,   38802005.094,  152267460.132,         43.300,,,,,,,,,,,,
I02, 2025-01-22 00:42:30.000,   38798951.320,  152255479.294,         42.500,,,,,,,,,,,,
I02, 2025-01-22 00:43:00.000,   38795890.719,  152243467.872,         42.800,,,,,,,,,,,,
I02, 2025-01-22 00:43:30.000,   38792822.625,  152231426.590,         43.300,,,,,,,,,,,,
I02, 2025-01-22 00:44:00.000,   38789746.594,  152219355.303,         42.600,,,,,,,,,,,,
I02, 2025-01-22 00:44:30.000,   38786662.086,  152207253.979,         42.400,,,,,,,,,,,,
I02, 2025-01-22 00:45:00.000,   38783570.539,  152195122.590,         42.400,,,,,,,,,,,,
I02, 2025-01-22 00:45:30.000,   38780471.844,  152182962.016,         41.700,,,,,,,,,,,,
I02, 2025-01-22 00:46:00.000,   38777365.492,  152170771.640,         42.200,,,,,,,,,,,,
