> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
J02, 2025-01-21 00:00:00.000,   40501928.297,  212839066.558,         37.400,   40501929.621,  212838833.570,         41.000,   40501927.199,  212839062.469,         38.800,   40501933.672,  165848838.069,         40.100,   40501929.828,  158938276.257,         42.100
J02, 2025-01-21 00:00:30.000,   40502554.234,  212842354.000,         36.800,   40502555.625,  212842121.004,         41.100,   40502552.563,  212842349.907,         37.900,   40502559.324,  165851399.702,         39.700,   40502555.258,  158940731.174,         42.100
J02, 2025-01-21 00:01:00.000,   40503186.625,  212845677.137,         36.800,   40503187.621,  212845444.111,         40.400,   40503185.172,  212845673.051,         38.000,   40503191.379,  165853989.124,         40.800,   40503187.281,  158943212.716,         41.700
J02, 2025-01-21 00:01:30.000,   40503825.422,  212849036.372,         36.900,   40503827.152,  212848803.339,         40.500,   40503824.070,  212849032.278,         37.800,   40503830.598,  165856606.723,         39.800,   40503826.340,  158945721.234,         40.800
J02, 2025-01-21 00:02:00.000,   40504472.063,  212852431.606,         36.500,   40504473.277,  212852198.588,         40.600,   40504471.020,  212852427.517,         37.000,   40504476.367,  165859252.383,         39.800,   40504472.441,  158948256.628,         41.400
J02, 2025-01-21 00:02:30.000,   40505124.781,  212855862.991,         37.500,   40505126.590,  212855629.995,         40.500,   40505123.695,  212855858.900,         37.100,   40505129.113,  165861926.197,         39.200,   40505125.363,  158950819.042,         41.400
J02, 2025-01-21 00:03:00.000,   40505785.641,  212859330.463,         38.100,   40505786.934,  212859097.453,         40.600,   40505784.098,  212859326.370,         38.400,   40505788.793,  165864628.117,         39.200,   40505785.387,  158953408.387,         41.500
J02, 2025-01-21 00:03:30.000,   40506452.188,  212862834.244,         37.700,   40506453.602,  212862601.253,         40.600,   40506450.539,  212862830.155,         37.800,   40506455.500,  165867358.345,         38.400,   40506452.176,  158956024.860,         41.800
J02, 2025-01-21 00:04:00.000,   40507126.219,  212866374.415,         37.600,   40507127.059,  212866141.416,         40.900,   40507124.777,  212866370.336,         38.100,   40507129.348,  165870116.933,         39.500,   40507126.059,  158958668.485,         42.200
J02, 2025-01-21 00:04:30.000,   40507806.672,  212869951.029,         37.600,   40507807.641,  212869718.062,         40.800,   40507805.402,  212869946.942,         37.900,   40507810.066,  165872903.901,         39.200,   40507806.910,  158961339.346,         42.600
J02, 2025-01-21 00:05:00.000,   40508493.781,  212873564.317,         36.800,   40508494.918,  212873331.324,         40.800,   40508492.793,  212873560.223,         38.500,   40508497.699,  165875719.428,         39.800,   40508494.609,  158964037.563,         42.600
J02, 2025-01-21 00:05:30.000,   40509188.891,  212877214.142,         37.600,   40509189.566,  212876981.145,         41.300,   40509186.492,  212877210.056,         38.700,   40509192.336,  165878563.470,         39.200,   40509189.316,  158966763.089,         42.600
J02, 2025-01-21 00:06:00.000,   40509890.063,  212880900.924,         38.100,   40509890.809,  212880667.934,         41.600,   40509887.973,  212880896.837,         39.600,   40509894.410,  165881436.280,         40.100,   40509890.785,  158969516.223,         43.400
J02, 2025-01-21 00:06:30.000,   40510598.375,  212884624.479,         37.600,   40510599.605,  212884391.504,         41.600,   40510596.750,  212884620.395,         38.300,   40510603.410,  165884337.734,         40.300,   40510599.398,  158972296.776,         43.400
J02, 2025-01-21 00:07:00.000,   40511313.156,  212888384.706,         38.100,   40511314.766,  212888151.742,         41.600,   40511311.648,  212888380.620,         38.400,   40511319.199,  165887267.799,         40.900,   40511315.188,  158975104.755,         43.800
J02, 2025-01-21 00:07:30.000,   40512035.094,  212892182.165,         37.100,   40512037.156,  212891949.159,         41.300,   40512034.309,  212892178.081,         39.400,   40512042.129,  165890226.807,         41.400,   40512037.668,  158977940.493,         43.200
J02, 2025-01-21 00:08:00.000,   40512765.641,  212896016.638,         38.300,   40512766.676,  212895783.645,         40.900,   40512763.602,  212896012.552,         37.600,   40512772.180,  165893214.723,         42.100,   40512767.313,  158980803.904,         43.000
J02, 2025-01-21 00:08:30.000,   40513501.688,  212899888.241,         37.500,   40513503.234,  212899655.260,         40.400,   40513500.086,  212899884.155,         37.000,   40513509.133,  165896231.570,         42.500,   40513504.090,  158983695.039,         42.500
J02, 2025-01-21 00:09:00.000,   40514244.188,  212903796.886,         35.200,   40514246.293,  212903563.872,         39.700,   40514242.992,  212903792.800,         36.200,   40514252.879,  165899277.245,         41.600,   40514247.695,  158986613.812,         43.000
J02, 2025-01-21 00:09:30.000,   40514995.203,  212907742.587,         34.500,   40514996.625,  212907509.591,         39.000,   40514993.660,  212907738.501,         35.400,   40515003.379,  165902351.828,         41.300,   40514998.102,  158989560.278,         42.300
J02, 2025-01-21 00:10:00.000,   40515752.609,  212911725.841,         34.600,   40515754.758,  212911492.826,         39.100,   40515750.805,  212911721.757,         36.200,   40515761.398,  165905455.665,         41.600,   40515755.598,  158992534.797,         41.900
J02, 2025-01-21 00:10:30.000,   40516518.469,  212915746.536,         34.800,   40516519.656,  212915513.545,         39.300,   40516516.375,  212915742.453,         35.900,   40516526.043,  165908588.677,         41.700,   40516520.844,  158995537.245,         41.400
J02, 2025-01-21 00:11:00.000,   40517291.391,  212919804.599,         36.100,   40517292.000,  212919571.608,         39.900,   40517288.680,  212919800.513,         36.500,   40517298.625,  165911750.800,         41.600,   40517293.129,  158998567.614,         41.400
J02, 2025-01-21 00:11:30.000,   40518070.547,  212923900.286,         36.200,   40518072.066,  212923667.272,         40.400,   40518068.730,  212923896.208,         37.400,   40518078.094,  165914942.248,         40.700,   40518072.578,  159001626.063,         41.100
J02, 2025-01-21 00:12:00.000,   40518858.328,  212928033.626,         36.700,   40518859.668,  212927800.620,         41.200,   40518856.055,  212928029.547,         37.900,   40518864.297,  165918163.032,         40.900,   40518859.023,  159004712.653,         41.500
J02, 2025-01-21 00:12:30.000,   40519652.281,  212932204.594,         37.400,   40519653.379,  212931971.587,         41.400,   40519650.477,  212932200.522,         38.100,   40519658.047,  165921413.117,         40.900,   40519652.707,  159007827.326,         41.600
J02, 2025-01-21 00:13:00.000,   40520453.047,  212936413.410,         37.600,   40520454.148,  212936180.414,         41.500,   40520451.648,  212936409.331,         37.900,   40520458.781,  165924692.697,         40.600,   40520453.813,  159010970.261,         41.800
J02, 2025-01-21 00:13:30.000,   40521260.797,  212940660.090,         37.300,   40521262.473,  212940427.089,         41.600,   40521259.590,  212940656.010,         39.000,   40521266.602,  165928001.796,         39.900,   40521261.871,  159014141.487,         42.800
J02, 2025-01-21 00:14:00.000,   40522077.188,  212944944.668,         37.600,   40522077.969,  212944711.644,         41.900,   40522075.320,  212944940.593,         38.600,   40522081.563,  165931340.401,         39.700,   40522077.613,  159017340.987,         43.100
J02, 2025-01-21 00:14:30.000,   40522899.453,  212949267.066,         37.600,   40522900.523,  212949034.047,         41.400,   40522897.715,  212949262.987,         38.700,   40522903.871,  165934708.496,         39.600,   40522900.371,  159020568.765,         42.800
J02, 2025-01-21 00:15:00.000,   40523729.563,  212953627.639,         37.600,   40523730.277,  212953394.622,         41.300,   40523727.742,  212953623.562,         38.400,   40523734.000,  165938106.333,         39.900,   40523729.926,  159023825.035,         43.000
J02, 2025-01-21 00:15:30.000,   40524566.750,  212958026.170,         38.400,   40524567.355,  212957793.161,         40.900,   40524564.914,  212958022.099,         38.400,   40524570.766,  165941533.750,         41.200,   40524567.133,  159027109.653,         44.300
J02, 2025-01-21 00:16:00.000,   40525411.109,  212962462.868,         36.900,   40525411.477,  212962229.890,         40.900,   40525408.895,  212962458.797,         37.900,   40525415.664,  165944990.949,         41.300,   40525411.574,  159030422.802,         42.800
J02, 2025-01-21 00:16:30.000,   40526261.844,  212966937.818,         36.600,   40526262.711,  212966704.817,         40.900,   40526259.813,  212966933.747,         38.200,   40526267.059,  165948477.918,         41.600,   40526263.129,  159033764.466,         43.700
J02, 2025-01-21 00:17:00.000,   40527121.047,  212971450.934,         37.400,   40527121.785,  212971217.921,         41.000,   40527119.426,  212971446.855,         37.900,   40527126.125,  165951994.618,         42.400,   40527122.063,  159037134.645,         43.000
J02, 2025-01-21 00:17:30.000,   40527987.016,  212976002.354,         37.800,   40527988.254,  212975769.352,         41.200,   40527985.141,  212975998.282,         38.500,   40527992.398,  165955541.200,         42.000,   40527988.270,  159040533.445,         43.500
J02, 2025-01-21 00:18:00.000,   40528859.641,  212980592.209,         37.500,   40528861.359,  212980359.217,         41.300,   40528858.613,  212980588.137,         38.500,   40528865.488,  165959117.724,         41.800,   40528861.648,  159043960.936,         42.900
J02, 2025-01-21 00:18:30.000,   40529740.594,  212985220.461,         38.400,   40529742.184,  212984987.448,         41.300,   40529739.184,  212985216.397,         38.700,   40529746.234,  165962724.146,         41.200,   40529742.219,  159047417.068,         43.000
J02, 2025-01-21 00:19:00.000,   40530627.750,  212989887.073,         37.000,   40530629.648,  212989654.069,         41.000,   40530626.770,  212989883.008,         37.900,   40530634.383,  165966360.455,         41.800,   40530630.535,  159050901.878,         42.700
J02, 2025-01-21 00:19:30.000,   40531522.719,  212994592.310,         36.500,   40531524.480,  212994359.297,         40.900,   40531521.688,  212994588.238,         37.900,   40531529.715,  165970026.887,         41.100,   40531525.832,  159054415.521,         43.100
J02, 2025-01-21 00:20:00.000,   40532425.484,  212999336.205,         36.200,   40532427.313,  212999103.187,         40.800,   40532424.258,  212999332.141,         37.900,   40532432.488,  165973723.409,         41.400,   40532428.441,  159057958.024,         42.900
J02, 2025-01-21 00:20:30.000,   40533335.578,  213004118.619,         38.600,   40533337.391,  213003885.612,         41.100,   40533334.320,  213004114.555,         38.300,   40533341.863,  165977449.972,         40.700,   40533338.051,  159061529.306,         42.200
J02, 2025-01-21 00:21:00.000,   40534253.203,  213008939.816,         37.100,   40534254.918,  213008706.810,         41.300,   40534251.258,  213008935.752,         37.900,   40534259.727,  165981206.739,         40.200,   40534255.328,  159065129.546,         42.600
J02, 2025-01-21 00:21:30.000,   40535177.625,  213013799.733,         38.400,   40535179.391,  213013566.710,         41.400,   40535176.563,  213013795.667,         38.400,   40535184.441,  165984993.663,         40.400,   40535179.938,  159068758.684,         42.200
J02, 2025-01-21 00:22:00.000,   40536110.313,  213018698.519,         38.400,   40536111.852,  213018465.516,         41.300,   40536108.418,  213018694.456,         38.300,   40536116.500,  165988810.887,         39.700,   40536112.230,  159072416.863,         42.500
J02, 2025-01-21 00:22:30.000,   40537050.359,  213023636.055,         37.000,   40537051.270,  213023403.045,         41.200,   40537048.527,  213023631.991,         39.100,   40537055.828,  165992658.298,         40.400,   40537051.844,  159076103.928,         42.300
J02, 2025-01-21 00:23:00.000,   40537997.641,  213028612.510,         37.000,   40537998.844,  213028379.493,         41.400,   40537996.207,  213028608.440,         38.700,   40538003.043,  165996536.042,         41.300,   40537999.074,  159079820.109,         42.400
J02, 2025-01-21 00:23:30.000,   40538952.375,  213033627.887,         37.500,   40538953.695,  213033394.880,         41.200,   40538950.465,  213033623.825,         37.800,   40538957.965,  166000444.112,         41.100,   40538953.645,  159083565.342,         42.700
J02, 2025-01-21 00:24:00.000,   40539914.578,  213038682.209,         37.300,   40539915.609,  213038449.200,         41.400,   40539912.641,  213038678.152,         38.700,   40539920.184,  166004382.532,         42.200,   40539915.375,  159087339.675,         43.000
J02, 2025-01-21 00:24:30.000,   40540883.375,  213043775.584,         37.400,   40540884.727,  213043542.557,         41.300,   40540881.625,  213043771.522,         38.100,   40540889.277,  166008351.381,         41.600,   40540884.844,  159091143.157,         42.600
J02, 2025-01-21 00:25:00.000,   40541860.391,  213048907.899,         37.500,   40541861.465,  213048674.908,         41.200,   40541858.477,  213048903.843,         39.400,   40541865.832,  166012350.601,         41.500,   40541861.707,  159094975.737,         43.500
J02, 2025-01-21 00:25:30.000,   40542845.156,  213054079.379,         37.400,   40542846.066,  213053846.398,         41.300,   40542843.895,  213054075.321,         39.200,   40542849.824,  166016380.295,         42.000,   40542845.988,  159098837.548,         43.200
J02, 2025-01-21 00:26:00.000,   40543836.891,  213059290.020,         38.100,   40543837.762,  213059056.992,         41.300,   40543834.926,  213059285.963,         38.600,   40543842.070,  166020440.529,         41.800,   40543837.617,  159102728.587,         44.100
J02, 2025-01-21 00:26:30.000,   40544835.719,  213064539.788,         38.900,   40544836.516,  213064306.776,         41.400,   40544833.680,  213064535.735,         38.500,   40544841.012,  166024531.256,         42.900,   40544836.668,  159106648.890,         44.500
J02, 2025-01-21 00:27:00.000,   40545842.234,  213069828.780,         38.400,   40545842.926,  213069595.788,         41.800,   40545840.016,  213069824.728,         39.100,   40545847.664,  166028652.552,         42.500,   40545842.961,  159110598.460,         43.900
J02, 2025-01-21 00:27:30.000,   40546855.281,  213075157.008,         38.100,   40546856.688,  213074924.002,         41.800,   40546853.695,  213075152.945,         38.700,   40546861.586,  166032804.407,         42.600,   40546857.016,  159114577.310,         43.600
J02, 2025-01-21 00:28:00.000,   40547876.656,  213080524.575,         38.100,   40547878.039,  213080291.556,         41.800,   40547875.172,  213080520.515,         38.800,   40547882.633,  166036986.924,         42.400,   40547878.402,  159118585.546,         43.700
J02, 2025-01-21 00:28:30.000,   40548905.438,  213085931.458,         38.100,   40548906.664,  213085698.444,         42.200,   40548903.754,  213085927.401,         38.800,   40548911.449,  166041200.042,         42.600,   40548907.266,  159122623.126,         43.700
J02, 2025-01-21 00:29:00.000,   40549941.359,  213091377.603,         38.400,   40549942.973,  213091144.622,         42.000,   40549939.961,  213091373.559,         39.200,   40549947.441,  166045443.797,         42.400,   40549943.527,  159126690.066,         43.200
J02, 2025-01-21 00:29:30.000,   40550985.469,  213096863.040,         38.000,   40550987.004,  213096630.029,         42.000,   40550983.883,  213096858.991,         39.400,   40550991.156,  166049718.153,         41.600,   40550987.418,  159130786.301,         43.100
J02, 2025-01-21 00:30:00.000,   40552037.250,  213102387.857,         38.600,   40552037.941,  213102154.853,         42.000,   40552034.840,  213102383.808,         39.600,   40552042.461,  166054023.184,         41.900,   40552038.727,  159134911.961,         42.600
J02, 2025-01-21 00:30:30.000,   40553096.094,  213107952.076,         38.800,   40553096.996,  213107719.070,         42.000,   40553093.816,  213107948.028,         38.300,   40553101.105,  166058358.931,         41.600,   40553097.246,  159139067.037,         42.500
J02, 2025-01-21 00:31:00.000,   40554161.516,  213113555.791,         38.200,   40554163.117,  213113322.777,         42.100,   40554159.672,  213113551.742,         39.800,   40554167.152,  166062725.436,         40.400,   40554163.184,  159143251.595,         42.400
J02, 2025-01-21 00:31:30.000,   40555235.266,  213119199.027,         37.700,   40555237.328,  213118966.017,         41.800,   40555234.563,  213119194.984,         39.200,   40555241.027,  166067122.741,         39.500,   40555236.844,  159147465.666,         42.500
J02, 2025-01-21 00:32:00.000,   40556317.547,  213124881.927,         38.200,   40556318.805,  213124648.909,         41.600,   40556316.188,  213124877.878,         38.900,   40556322.109,  166071550.943,         40.500,   40556318.480,  159151709.363,         42.300
J02, 2025-01-21 00:32:30.000,   40557406.375,  213130604.439,         38.600,   40557407.531,  213130371.447,         41.300,   40557404.145,  213130600.405,         38.000,   40557411.656,  166076010.039,         40.700,   40557407.602,  159155982.647,         43.000
J02, 2025-01-21 00:33:00.000,   40558502.563,  213136366.411,         37.200,   40558503.578,  213136133.415,         40.700,   40558500.500,  213136362.370,         37.700,   40558508.336,  166080499.873,         40.900,   40558504.371,  159160285.408,         43.100
J02, 2025-01-21 00:33:30.000,   40559606.188,  213142167.937,         36.700,   40559607.430,  213141934.936,         40.900,   40559604.348,  213142163.893,         38.100,   40559612.234,  166085020.533,         41.000,   40559608.258,  159164617.704,         43.500
J02, 2025-01-21 00:34:00.000,   40560717.859,  213148008.994,         37.300,   40560719.305,  213147775.989,         41.100,   40560716.148,  213148004.951,         38.000,   40560723.871,  166089571.992,         41.500,   40560719.969,  159168979.521,         43.200
J02, 2025-01-21 00:34:30.000,   40561836.469,  213153889.605,         38.200,   40561838.465,  213153656.590,         41.200,   40561835.367,  213153885.569,         38.600,   40561843.352,  166094154.258,         42.000,   40561839.016,  159173370.849,         43.300
J02, 2025-01-21 00:35:00.000,   40562963.906,  213159809.887,         37.400,   40562965.238,  213159576.888,         41.600,   40562962.238,  213159805.843,         38.600,   40562970.543,  166098767.461,         43.000,   40562965.531,  159177791.819,         43.000
J02, 2025-01-21 00:35:30.000,   40564098.953,  213165769.824,         38.400,   40564099.898,  213165536.823,         41.600,   40564096.660,  213165765.788,         38.600,   40564104.441,  166103411.532,         42.100,   40564099.699,  159182242.398,         43.600
J02, 2025-01-21 00:36:00.000,   40565240.797,  213171769.480,         38.600,   40565241.695,  213171536.477,         42.000,   40565238.602,  213171765.446,         39.600,   40565246.234,  166108086.589,         42.500,   40565241.551,  159186722.638,         42.900
J02, 2025-01-21 00:36:30.000,   40566389.969,  213177808.810,         38.500,   40566390.934,  213177575.819,         42.300,   40566388.195,  213177804.776,         39.500,   40566395.613,  166112792.526,         42.200,   40566390.910,  159191232.506,         44.200
