> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-26 00:00:00.000,   38694271.617,  151844708.059,         46.600,   38694268.512,  321646549.092,         41.000,,,,,,,,,
I02, 2025-01-26 00:00:30.000,   38691753.906,  151834828.968,         44.700,   38691750.820,  321625622.577,         40.400,,,,,,,,,
I02, 2025-01-26 00:01:00.000,   38689226.383,  151824909.065,         46.600,   38689222.887,  321604609.623,         41.100,,,,,,,,,
I02, 2025-01-26 00:01:30.000,   38686688.109,  151814948.490,         45.200,   38686684.680,  321583510.521,         40.500,,,,,,,,,
I02, 2025-01-26 00:02:00.000,   38684139.766,  151804947.641,         45.500,   38684136.289,  321562326.101,         41.000,,,,,,,,,
I02, 2025-01-26 00:02:30.000,   38681580.742,  151794906.557,         45.000,   38681577.402,  321541056.475,         40.800,,,,,,,,,
I02, 2025-01-26 00:03:00.000,   38679011.883,  151784825.839,         45.300,   38679008.598,  321519702.881,         41.200,,,,,,,,,
I02, 2025-01-26 00:03:30.000,   38676433.141,  151774705.026,         45.300,   38676429.324,  321498264.368,         40.700,,,,,,,,,
I02, 2025-01-26 00:04:00.000,   38673843.617,  151764543.939,         46.900,   38673839.691,  321476740.524,         40.900,,,,,,,,,
I02, 2025-01-26 00:04:30.000,   38671243.742,  151754342.515,         44.900,   38671240.039,  321455131.234,         40.900,,,,,,,,,
I02, 2025-01-26 00:05:00.000,   38668634.492,  151744101.229,         45.200,   38668630.125,  321433437.511,         40.000,,,,,,,,,
I02, 2025-01-26 00:05:30.000,   38666014.688,  151733819.925,         46.500,   38666010.625,  321411659.028,         40.800,,,,,,,,,
I02, 2025-01-26 00:06:00.000,   38663384.125,  151723499.412,         46.000,   38663380.988,  321389797.479,         41.900,,,,,,,,,
I02, 2025-01-26 00:06:30.000,   38660744.414,  151713139.145,         45.600,   38660741.059,  321367851.731,         41.100,,,,,,,,,
I02, 2025-01-26 00:07:00.000,   38658094.016,  151702739.481,         45.400,   38658090.711,  321345822.523,         40.500,,,,,,,,,
I02, 2025-01-26 00:07:30.000,   38655434.008,  151692300.697,         46.200,   38655430.508,  321323710.450,         40.300,,,,,,,,,
I02, 2025-01-26 00:08:00.000,   38652763.891,  151681822.960,         43.700,   38652760.402,  321301515.874,         39.000,,,,,,,,,
I02, 2025-01-26 00:08:30.000,   38650083.758,  151671306.429,         45.400,   38650080.582,  321279239.110,         40.900,,,,,,,,,
I02, 2025-01-26 00:09:00.000,   38647394.305,  151660751.234,         45.300,   38647390.926,  321256880.450,         40.800,,,,,,,,,
I02, 2025-01-26 00:09:30.000,   38644694.547,  151650156.862,         44.700,   38644691.211,  321234438.805,         39.400,,,,,,,,,
I02, 2025-01-26 00:10:00.000,   38641985.320,  151639523.647,         44.600,   38641981.555,  321211914.892,         40.800,,,,,,,,,
I02, 2025-01-26 00:10:30.000,   38639265.563,  151628853.054,         45.200,   38639262.465,  321189311.782,         41.400,,,,,,,,,
I02, 2025-01-26 00:11:00.000,   38636536.492,  151618143.189,         45.400,   38636533.176,  321166625.487,         41.100,,,,,,,,,
I02, 2025-01-26 00:11:30.000,   38633797.992,  151607395.737,         45.000,   38633794.336,  321143859.588,         41.000,,,,,,,,,
I02, 2025-01-26 00:12:00.000,   38631049.359,  151596610.033,         45.100,   38631045.605,  321121012.645,         40.800,,,,,,,,,
I02, 2025-01-26 00:12:30.000,   38628291.656,  151585786.833,         43.900,   38628287.227,  321098086.285,         40.800,,,,,,,,,
I02, 2025-01-26 00:13:00.000,   38625523.250,  151574925.450,         45.000,   38625519.766,  321075079.068,         40.500,,,,,,,,,
I02, 2025-01-26 00:13:30.000,   38622745.852,  151564026.183,         45.300,   38622742.508,  321051991.569,         41.300,,,,,,,,,
I02, 2025-01-26 00:14:00.000,   38619958.945,  151553089.639,         45.300,   38619955.543,  321028825.134,         41.300,,,,,,,,,
I02, 2025-01-26 00:14:30.000,   38617162.555,  151542115.546,         45.500,   38617159.109,  321005579.135,         40.900,,,,,,,,,
I02, 2025-01-26 00:15:00.000,   38614356.633,  151531104.138,         43.400,   38614352.961,  320982254.106,         41.300,,,,,,,,,
I02, 2025-01-26 00:15:30.000,   38611540.992,  151520056.130,         45.000,   38611537.664,  320958851.548,         40.900,,,,,,,,,
I02, 2025-01-26 00:16:00.000,   38608716.352,  151508970.734,         45.300,   38608712.875,  320935369.797,         38.600,,,,,,,,,
I02, 2025-01-26 00:16:30.000,   38605882.492,  151497848.858,         44.900,   38605878.484,  320911810.786,         41.400,,,,,,,,,
I02, 2025-01-26 00:17:00.000,   38603038.477,  151486690.067,         45.300,   38603035.113,  320888173.548,         40.000,,,,,,,,,
I02, 2025-01-26 00:17:30.000,   38600185.852,  151475495.004,         46.400,   38600182.242,  320864459.487,         40.900,,,,,,,,,
I02, 2025-01-26 00:18:00.000,   38597323.422,  151464263.112,         46.400,   38597320.090,  320840667.430,         40.200,,,,,,,,,
I02, 2025-01-26 00:18:30.000,   38594451.789,  151452995.118,         45.700,   38594448.520,  320816798.896,         40.000,,,,,,,,,
I02, 2025-01-26 00:19:00.000,   38591571.461,  151441691.075,         45.000,   38591567.785,  320792853.986,         40.400,,,,,,,,,
I02, 2025-01-26 00:19:30.000,   38588681.766,  151430350.527,         44.700,   38588678.055,  320768831.766,         41.600,,,,,,,,,
I02, 2025-01-26 00:20:00.000,   38585782.609,  151418974.392,         45.900,   38585779.141,  320744734.151,         39.500,,,,,,,,,
I02, 2025-01-26 00:20:30.000,   38582875.016,  151407562.570,         45.200,   38582871.555,  320720560.943,         40.800,,,,,,,,,
I02, 2025-01-26 00:21:00.000,   38579957.500,  151396115.076,         45.600,   38579954.613,  320696312.205,         41.300,,,,,,,,,
