> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
J02, 2025-01-14 00:00:00.000,   41176032.922,  216381462.515,         36.400,   41176031.109,  216381514.510,         39.600,   41176028.254,  216381493.374,         37.300,   41176040.359,  168609002.474,         40.100,   41176038.586,  161583614.703,         44.100
J02, 2025-01-14 00:00:30.000,   41176169.000,  216382178.880,         34.500,   41176166.918,  216382230.871,         38.600,   41176163.797,  216382209.743,         36.800,   41176176.820,  168609560.688,         40.200,   41176174.566,  161584149.645,         44.000
J02, 2025-01-14 00:01:00.000,   41176308.859,  216382916.256,         34.000,   41176307.590,  216382968.247,         38.500,   41176303.531,  216382947.112,         37.000,   41176317.199,  168610135.243,         41.100,   41176315.102,  161584700.270,         43.200
J02, 2025-01-14 00:01:30.000,   41176454.219,  216383674.761,         34.800,   41176452.242,  216383726.759,         38.300,   41176448.621,  216383705.614,         36.800,   41176461.988,  168610726.287,         42.700,   41176459.504,  161585266.689,         44.100
J02, 2025-01-14 00:02:00.000,   41176602.156,  216384454.422,         38.200,   41176601.191,  216384506.415,         40.300,   41176597.461,  216384485.285,         38.100,   41176610.383,  168611333.792,         43.100,   41176607.672,  161585848.876,         43.600
J02, 2025-01-14 00:02:30.000,   41176754.641,  216385255.380,         37.700,   41176753.105,  216385307.390,         39.900,   41176749.770,  216385286.240,         37.900,   41176762.957,  168611957.895,         42.600,   41176759.957,  161586446.961,         43.600
J02, 2025-01-14 00:03:00.000,   41176911.141,  216386077.081,         35.500,   41176909.141,  216386129.080,         38.100,   41176905.652,  216386107.934,         35.200,   41176919.512,  168612598.167,         42.000,   41176916.727,  161587060.529,         43.500
J02, 2025-01-14 00:03:30.000,   41177069.859,  216386918.122,         36.600,   41177069.055,  216386970.137,         38.800,   41177066.016,  216386948.981,         36.700,   41177078.941,  168613253.482,         42.900,   41177076.777,  161587688.544,         43.400
J02, 2025-01-14 00:04:00.000,   41177234.688,  216387781.096,         34.300,   41177233.043,  216387833.103,         38.200,   41177229.926,  216387811.959,         37.000,   41177243.609,  168613925.904,         43.200,   41177240.363,  161588332.951,         43.000
J02, 2025-01-14 00:04:30.000,   41177402.859,  216388667.583,         34.800,   41177402.445,  216388719.595,         38.100,   41177398.574,  216388698.447,         36.900,   41177412.199,  168614616.674,         42.700,   41177408.914,  161588994.935,         42.600
J02, 2025-01-14 00:05:00.000,   41177575.984,  216389577.602,         35.600,   41177575.441,  216389629.580,         38.400,   41177571.734,  216389608.466,         36.100,   41177585.148,  168615325.737,         42.300,   41177582.117,  161589674.464,         42.600
J02, 2025-01-14 00:05:30.000,   41177753.797,  216390510.897,         35.500,   41177753.098,  216390562.921,         38.400,   41177749.262,  216390541.764,         36.800,   41177762.320,  168616053.020,         41.700,   41177759.563,  161590371.448,         43.000
J02, 2025-01-14 00:06:00.000,   41177936.844,  216391467.182,         37.200,   41177935.191,  216391519.176,         40.500,   41177931.922,  216391498.050,         38.900,   41177944.668,  168616798.165,         41.600,   41177941.500,  161591085.527,         42.500
J02, 2025-01-14 00:06:30.000,   41178122.438,  216392446.197,         36.000,   41178121.398,  216392498.172,         39.700,   41178118.246,  216392477.061,         36.900,   41178131.297,  168617561.016,         41.900,   41178127.910,  161591816.571,         43.600
J02, 2025-01-14 00:07:00.000,   41178313.172,  216393448.331,         38.400,   41178312.777,  216393500.340,         40.400,   41178309.477,  216393479.195,         37.400,   41178321.984,  168618341.919,         42.400,   41178318.434,  161592564.938,         43.000
J02, 2025-01-14 00:07:30.000,   41178507.875,  216394473.513,         35.800,   41178506.828,  216394525.530,         39.000,   41178503.695,  216394504.375,         36.800,   41178516.949,  168619140.740,         42.700,   41178514.031,  161593330.447,         43.700
J02, 2025-01-14 00:08:00.000,   41178707.609,  216395521.864,         36.000,   41178706.840,  216395573.881,         39.100,   41178703.363,  216395552.726,         37.300,   41178716.844,  168619957.634,         44.000,   41178713.656,  161594113.350,         43.400
J02, 2025-01-14 00:08:30.000,   41178911.719,  216396593.448,         34.400,   41178910.449,  216396645.432,         38.400,   41178906.738,  216396624.311,         36.500,   41178920.559,  168620792.571,         43.500,   41178917.586,  161594913.498,         44.000
J02, 2025-01-14 00:09:00.000,   41179120.219,  216397688.197,         35.400,   41179118.742,  216397740.216,         38.100,   41179115.160,  216397719.064,         35.700,   41179128.641,  168621645.622,         43.800,   41179125.969,  161595731.038,         44.100
J02, 2025-01-14 00:09:30.000,   41179333.172,  216398806.923,         35.700,   41179331.223,  216398858.916,         39.200,   41179328.199,  216398837.786,         37.300,   41179341.348,  168622517.330,         42.800,   41179339.121,  161596566.405,         43.900
J02, 2025-01-14 00:10:00.000,   41179551.031,  216399949.587,         35.100,   41179548.445,  216400001.574,         38.300,   41179545.332,  216399980.462,         35.400,   41179559.117,  168623407.693,         42.400,   41179556.605,  161597419.663,         44.100
J02, 2025-01-14 00:10:30.000,   41179772.578,  216401116.318,         36.300,   41179770.707,  216401168.298,         39.200,   41179767.430,  216401147.189,         35.900,   41179781.055,  168624316.835,         42.200,   41179778.195,  161598290.910,         43.400
J02, 2025-01-14 00:11:00.000,   41179999.625,  216402307.199,         35.200,   41179997.348,  216402359.205,         38.100,   41179993.953,  216402338.070,         36.200,   41180008.168,  168625244.761,         43.100,   41180004.770,  161599180.198,         43.300
J02, 2025-01-14 00:11:30.000,   41180230.656,  216403522.532,         34.200,   41180229.117,  216403574.531,         38.300,   41180226.289,  216403553.395,         36.600,   41180239.914,  168626191.749,         44.900,   41180235.809,  161600087.725,         42.400
J02, 2025-01-14 00:12:00.000,   41180465.891,  216404762.219,         36.600,   41180464.758,  216404814.208,         39.200,   41180461.547,  216404793.082,         35.400,   41180475.203,  168627157.728,         43.900,   41180472.113,  161601013.434,         42.300
J02, 2025-01-14 00:12:30.000,   41180707.094,  216406026.425,         38.000,   41180705.605,  216406078.444,         39.200,   41180702.750,  216406057.296,         36.600,   41180715.531,  168628142.836,         42.600,   41180712.426,  161601957.532,         42.900
J02, 2025-01-14 00:13:00.000,   41180952.547,  216407315.372,         36.700,   41180951.402,  216407367.363,         39.200,   41180948.063,  216407346.242,         38.300,   41180960.922,  168629147.196,         41.900,   41180958.129,  161602920.049,         43.600
J02, 2025-01-14 00:13:30.000,   41181202.578,  216408629.288,         36.900,   41181201.566,  216408681.274,         40.200,   41181198.047,  216408660.152,         38.700,   41181210.871,  168630171.033,         41.700,   41181207.934,  161603901.221,         43.600
J02, 2025-01-14 00:14:00.000,   41181457.359,  216409968.249,         37.200,   41181455.715,  216410020.259,         39.500,   41181452.891,  216409999.120,         36.700,   41181465.359,  168631214.436,         40.900,   41181463.039,  161604901.099,         44.000
J02, 2025-01-14 00:14:30.000,   41181716.594,  216411332.625,         35.800,   41181715.191,  216411384.602,         39.700,   41181711.637,  216411363.496,         36.300,   41181725.164,  168632277.549,         41.100,   41181722.328,  161605919.912,         43.900
J02, 2025-01-14 00:15:00.000,   41181981.438,  216412722.388,         35.600,   41181979.637,  216412774.374,         39.400,   41181976.484,  216412753.251,         37.500,   41181989.414,  168633360.465,         42.200,   41181986.707,  161606957.738,         43.200
J02, 2025-01-14 00:15:30.000,   41182250.891,  216414137.643,         35.900,   41182248.996,  216414189.658,         37.900,   41182245.391,  216414168.513,         36.300,   41182258.797,  168634463.290,         42.300,   41182256.328,  161608014.605,         43.500
J02, 2025-01-14 00:16:00.000,   41182524.844,  216415578.488,         33.900,   41182522.691,  216415630.527,         37.800,   41182519.809,  216415609.363,         36.000,   41182533.617,  168635586.060,         42.900,   41182530.434,  161609090.598,         43.200
J02, 2025-01-14 00:16:30.000,   41182803.469,  216417045.131,         35.400,   41182802.621,  216417097.137,         39.200,   41182799.195,  216417076.001,         37.900,   41182812.117,  168636728.886,         42.200,   41182809.570,  161610185.782,         43.500
J02, 2025-01-14 00:17:00.000,   41183087.766,  216418537.954,         36.000,   41183086.809,  216418589.951,         40.200,   41183083.184,  216418568.824,         36.900,   41183096.457,  168637892.148,         42.800,   41183093.316,  161611300.539,         43.200
J02, 2025-01-14 00:17:30.000,   41183376.750,  216420056.843,         36.400,   41183375.965,  216420108.828,         40.200,   41183372.371,  216420087.721,         38.600,   41183385.516,  168639075.678,         42.400,   41183382.367,  161612434.778,         42.600
J02, 2025-01-14 00:18:00.000,   41183670.781,  216421601.796,         37.800,   41183669.871,  216421653.799,         40.700,   41183666.754,  216421632.670,         37.100,   41183679.516,  168640279.532,         42.700,   41183676.512,  161613588.468,         43.300
J02, 2025-01-14 00:18:30.000,   41183970.094,  216423173.006,         35.500,   41183968.523,  216423224.997,         39.000,   41183965.414,  216423203.884,         36.800,   41183978.523,  168641503.824,         43.900,   41183975.273,  161614761.740,         42.300
J02, 2025-01-14 00:19:00.000,   41184273.703,  216424770.833,         35.000,   41184272.438,  216424822.847,         38.300,   41184269.367,  216424801.704,         36.500,   41184282.953,  168642748.905,         43.700,   41184279.430,  161615954.978,         42.700
J02, 2025-01-14 00:19:30.000,   41184582.984,  216426395.250,         35.200,   41184581.469,  216426447.229,         38.400,   41184577.926,  216426426.128,         36.200,   41184591.711,  168644014.673,         43.500,   41184589.023,  161617167.984,         43.400
J02, 2025-01-14 00:20:00.000,   41184897.453,  216428046.678,         35.500,   41184896.020,  216428098.669,         39.700,   41184892.504,  216428077.548,         36.900,   41184906.074,  168645301.508,         43.600,   41184903.250,  161618401.214,         43.600
