> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S22, 2025-01-07 00:00:00.000,   40764977.813,  214221438.581,         35.200,,,,,,,,,,,,
S22, 2025-01-07 00:00:30.000,   40765395.031,  214223643.725,         33.600,,,,,,,,,,,,
S22, 2025-01-07 00:01:00.000,   40765817.141,  214225851.721,         33.900,,,,,,,,,,,,
S22, 2025-01-07 00:01:30.000,   40766236.750,  214228060.127,         34.100,,,,,,,,,,,,
S22, 2025-01-07 00:02:00.000,   40766646.656,  214230257.256,         33.600,,,,,,,,,,,,
S22, 2025-01-07 00:02:30.000,   40767068.359,  214232450.387,         34.900,,,,,,,,,,,,
S22, 2025-01-07 00:03:00.000,   40767487.875,  214234649.453,         34.800,,,,,,,,,,,,
S22, 2025-01-07 00:03:30.000,   40767902.688,  214236836.496,         33.300,,,,,,,,,,,,
S22, 2025-01-07 00:04:00.000,   40768316.391,  214239022.306,         33.700,,,,,,,,,,,,
S22, 2025-01-07 00:04:30.000,   40768732.656,  214241215.420,         33.300,,,,,,,,,,,,
S22, 2025-01-07 00:05:00.000,   40769151.406,  214243405.546,         33.200,,,,,,,,,,,,
S22, 2025-01-07 00:05:30.000,   40769566.672,  214245595.495,         31.800,,,,,,,,,,,,
S22, 2025-01-07 00:06:00.000,   40769983.359,  214247785.070,         33.100,,,,,,,,,,,,
S22, 2025-01-07 00:06:30.000,   40770396.641,  214249970.801,         32.600,,,,,,,,,,,,
S22, 2025-01-07 00:07:00.000,   40770811.969,  214252156.591,         33.200,,,,,,,,,,,,
S22, 2025-01-07 00:07:30.000,   40771227.094,  214254338.461,         33.400,,,,,,,,,,,,
S22, 2025-01-07 00:08:00.000,   40771641.781,  214256511.960,         34.000,,,,,,,,,,,,
S22, 2025-01-07 00:08:30.000,   40772056.391,  214258690.473,         32.200,,,,,,,,,,,,
S22, 2025-01-07 00:09:00.000,   40772471.188,  214260867.752,         32.400,,,,,,,,,,,,
S22, 2025-01-07 00:09:30.000,   40772886.734,  214263038.402,         32.600,,,,,,,,,,,,
S22, 2025-01-07 00:10:00.000,   40773295.922,  214265205.961,         31.600,,,,,,,,,,,,
S22, 2025-01-07 00:11:00.000,   40774127.891,  214269552.527,         32.800,,,,,,,,,,,,
S22, 2025-01-07 00:11:30.000,   40774538.094,  214271723.564,         32.900,,,,,,,,,,,,
S22, 2025-01-07 00:12:00.000,   40774949.828,  214273882.906,         31.500,,,,,,,,,,,,
S22, 2025-01-07 00:14:00.000,   40776592.672,  214282422.249,         31.500,,,,,,,,,,,,
S22, 2025-01-07 00:14:30.000,   40777006.047,  214284583.851,         30.800,,,,,,,,,,,,
S22, 2025-01-07 00:15:00.000,   40777416.313,  214286740.458,         31.600,,,,,,,,,,,,
S22, 2025-01-07 00:15:30.000,   40777827.188,  214288897.611,         31.800,,,,,,,,,,,,
S22, 2025-01-07 00:17:30.000,   40779458.453,  214297501.991,         31.600,,,,,,,,,,,,
S22, 2025-01-07 00:18:00.000,   40779867.594,  214299642.080,         31.900,,,,,,,,,,,,
S22, 2025-01-07 00:18:30.000,   40780270.219,  214301789.129,         30.800,,,,,,,,,,,,
S22, 2025-01-07 00:21:00.000,   40782299.297,  214312440.453,         31.000,,,,,,,,,,,,
S22, 2025-01-07 00:22:30.000,   40783514.172,  214318857.528,         31.500,,,,,,,,,,,,
S22, 2025-01-07 00:23:30.000,   40784321.578,  214323107.804,         31.300,,,,,,,,,,,,
S22, 2025-01-07 00:24:00.000,   40784727.828,  214325235.111,         31.000,,,,,,,,,,,,
S22, 2025-01-07 00:24:30.000,   40785127.984,  214327346.617,         29.900,,,,,,,,,,,,
S22, 2025-01-07 00:26:30.000,   40786736.734,  214335757.811,         32.200,,,,,,,,,,,,
S22, 2025-01-07 00:27:00.000,   40787142.109,  214337868.101,         31.200,,,,,,,,,,,,
S22, 2025-01-07 00:27:30.000,   40787539.141,  214339974.274,         32.900,,,,,,,,,,,,
S22, 2025-01-07 00:28:00.000,   40787941.203,  214342071.716,         31.500,,,,,,,,,,,,
S22, 2025-01-07 00:28:30.000,   40788343.172,  214344172.017,         32.500,,,,,,,,,,,,
S22, 2025-01-07 00:29:30.000,   40789142.234,  214348394.562,         32.400,,,,,,,,,,,,
S22, 2025-01-07 00:30:00.000,   40789539.000,  214350488.353,         31.000,,,,,,,,,,,,
S22, 2025-01-07 00:30:30.000,   40789940.281,  214352580.625,         32.600,,,,,,,,,,,,
S22, 2025-01-07 00:31:00.000,   40790338.531,  214354676.400,         32.200,,,,,,,,,,,,
S22, 2025-01-07 00:31:30.000,   40790737.547,  214356769.604,         32.600,,,,,,,,,,,,
S22, 2025-01-07 00:32:00.000,   40791133.188,  214358860.826,         33.000,,,,,,,,,,,,
S22, 2025-01-07 00:32:30.000,   40791529.188,  214360954.323,         31.900,,,,,,,,,,,,
S22, 2025-01-07 00:33:00.000,   40791927.984,  214363038.274,         32.600,,,,,,,,,,,,
S22, 2025-01-07 00:33:30.000,   40792322.469,  214365122.756,         34.700,,,,,,,,,,,,
S22, 2025-01-07 00:34:00.000,   40792714.844,  214367201.685,         34.000,,,,,,,,,,,,
S22, 2025-01-07 00:34:30.000,   40793109.578,  214369281.170,         34.300,,,,,,,,,,,,
S22, 2025-01-07 00:35:00.000,   40793503.656,  214371353.318,         33.500,,,,,,,,,,,,
S22, 2025-01-07 00:35:30.000,   40793896.703,  214373424.493,         33.300,,,,,,,,,,,,
S22, 2025-01-07 00:36:00.000,   40794290.313,  214375497.668,         32.900,,,,,,,,,,,,
S22, 2025-01-07 00:36:30.000,   40794683.313,  214377565.699,         33.200,,,,,,,,,,,,
S22, 2025-01-07 00:37:00.000,   40795074.969,  214379638.190,         32.900,,,,,,,,,,,,
S22, 2025-01-07 00:37:30.000,   40795468.719,  214381705.366,         31.900,,,,,,,,,,,,
S22, 2025-01-07 00:38:00.000,   40795860.203,  214383764.634,         31.800,,,,,,,,,,,,
S22, 2025-01-07 00:38:30.000,   40796254.859,  214385821.592,         32.000,,,,,,,,,,,,
S22, 2025-01-07 00:39:00.000,   40796640.734,  214387878.678,         32.300,,,,,,,,,,,,
S22, 2025-01-07 00:39:30.000,   40797034.047,  214389933.010,         32.200,,,,,,,,,,,,
S22, 2025-01-07 00:40:00.000,   40797426.344,  214391982.199,         32.400,,,,,,,,,,,,
S22, 2025-01-07 00:40:30.000,   40797812.969,  214394032.998,         31.300,,,,,,,,,,,,
S22, 2025-01-07 00:41:00.000,   40798200.219,  214396081.630,         32.800,,,,,,,,,,,,
S22, 2025-01-07 00:41:30.000,   40798592.625,  214398125.146,         33.000,,,,,,,,,,,,
S22, 2025-01-07 00:42:00.000,   40798979.547,  214400163.338,         31.900,,,,,,,,,,,,
S22, 2025-01-07 00:42:30.000,   40799366.719,  214402202.285,         32.000,,,,,,,,,,,,
S22, 2025-01-07 00:43:00.000,   40799754.641,  214404256.623,         29.900,,,,,,,,,,,,
S22, 2025-01-07 00:43:30.000,   40800136.594,  214406296.290,         31.300,,,,,,,,,,,,
S22, 2025-01-07 00:44:00.000,   40800524.297,  214408329.082,         31.600,,,,,,,,,,,,
S22, 2025-01-07 00:44:30.000,   40800911.938,  214410357.324,         30.800,,,,,,,,,,,,
S22, 2025-01-07 00:45:00.000,   40801297.828,  214412390.390,         30.500,,,,,,,,,,,,
S22, 2025-01-07 00:45:30.000,   40801682.766,  214414416.806,         30.700,,,,,,,,,,,,
S22, 2025-01-07 00:46:00.000,   40802068.219,  214416436.798,         31.300,,,,,,,,,,,,
S22, 2025-01-07 00:52:00.000,   40806640.734,  214440354.202,         30.100,,,,,,,,,,,,
S22, 2025-01-07 00:52:30.000,   40807019.000,  214442347.498,         31.900,,,,,,,,,,,,
S22, 2025-01-07 00:53:00.000,   40807398.109,  214444348.335,         32.200,,,,,,,,,,,,
S22, 2025-01-07 00:53:30.000,   40807775.328,  214446329.952,         30.500,,,,,,,,,,,,
S22, 2025-01-07 00:54:00.000,   40808153.875,  214448308.248,         31.600,,,,,,,,,,,,
S22, 2025-01-07 00:55:00.000,   40808907.266,  214452277.607,         31.500,,,,,,,,,,,,
S22, 2025-01-07 00:56:00.000,   40809657.188,  214456211.054,         30.700,,,,,,,,,,,,
S22, 2025-01-07 00:56:30.000,   40810036.063,  214458173.300,         32.400,,,,,,,,,,,,
S22, 2025-01-07 00:59:00.000,   40811906.141,  214468001.986,         30.800,,,,,,,,,,,,
S22, 2025-01-07 00:59:30.000,   40812279.109,  214469958.578,         30.800,,,,,,,,,,,,
S22, 2025-01-07 01:00:00.000,   40812647.859,  214471908.504,         31.900,,,,,,,,,,,,
S22, 2025-01-07 01:00:30.000,   40813023.219,  214473854.616,         31.800,,,,,,,,,,,,
S22, 2025-01-07 01:01:30.000,   40813761.500,  214477759.760,         32.900,,,,,,,,,,,,
S22, 2025-01-07 01:02:00.000,   40814130.344,  214479703.213,         32.000,,,,,,,,,,,,
S22, 2025-01-07 01:03:00.000,   40814865.734,  214483577.085,         31.300,,,,,,,,,,,,
