> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
J02, 2025-01-30 00:00:00.000,   40495599.109,  212805773.016,         40.100,   40495598.117,  212805717.008,         44.600,   40495595.156,  212805802.965,         40.800,   40495606.563,  165822911.904,         43.900,   40495603.570,  158913284.128,         44.900
J02, 2025-01-30 00:00:30.000,   40496732.422,  212811729.741,         40.200,   40496731.613,  212811673.725,         44.000,   40496728.348,  212811759.689,         41.300,   40496740.000,  165827553.490,         44.100,   40496737.121,  158917732.318,         45.000
J02, 2025-01-30 00:01:00.000,   40497873.719,  212817726.680,         40.600,   40497873.016,  212817670.663,         44.200,   40497869.590,  212817756.629,         40.600,   40497881.242,  165832226.435,         45.000,   40497878.523,  158922210.541,         45.700
J02, 2025-01-30 00:01:30.000,   40499022.906,  212823763.774,         39.400,   40499021.309,  212823707.761,         43.400,   40499018.504,  212823793.723,         39.900,   40499030.051,  165836930.673,         44.500,   40499027.543,  158926718.786,         46.300
J02, 2025-01-30 00:02:00.000,   40500178.938,  212829841.129,         38.400,   40500176.824,  212829785.131,         43.200,   40500174.238,  212829871.078,         39.400,   40500186.805,  165841666.260,         43.800,   40500183.793,  158931257.058,         46.400
J02, 2025-01-30 00:02:30.000,   40501342.938,  212835958.797,         39.200,   40501341.063,  212835902.792,         42.900,   40501337.781,  212835988.746,         39.400,   40501351.047,  165846433.280,         44.700,   40501348.008,  158935825.454,         46.100
J02, 2025-01-30 00:03:00.000,   40502514.938,  212842116.679,         38.800,   40502513.113,  212842060.661,         43.000,   40502509.660,  212842146.627,         39.500,   40502522.621,  165851231.644,         44.600,   40502519.824,  158940423.893,         45.800
J02, 2025-01-30 00:03:30.000,   40503694.484,  212848314.652,         39.200,   40503693.098,  212848258.646,         43.200,   40503689.539,  212848344.608,         39.600,   40503702.309,  165856061.251,         44.600,   40503699.117,  158945052.270,         46.400
J02, 2025-01-30 00:04:00.000,   40504881.734,  212854552.518,         39.400,   40504880.258,  212854496.527,         43.400,   40504876.770,  212854582.474,         40.200,   40504889.340,  165860921.926,         44.600,   40504886.078,  158949710.425,         45.600
J02, 2025-01-30 00:04:30.000,   40506076.391,  212860830.790,         39.100,   40506074.938,  212860774.792,         43.600,   40506071.340,  212860860.746,         40.300,   40506083.984,  165865814.085,         45.300,   40506080.887,  158954398.728,         45.600
J02, 2025-01-30 00:05:00.000,   40507278.766,  212867149.502,         39.400,   40507277.773,  212867093.496,         43.800,   40507274.254,  212867179.458,         40.400,   40507286.328,  165870737.757,         44.700,   40507283.000,  158959117.244,         45.200
J02, 2025-01-30 00:05:30.000,   40508489.125,  212873508.504,         40.900,   40508487.996,  212873452.487,         44.800,   40508484.652,  212873538.461,         41.500,   40508496.477,  165875692.815,         45.700,   40508493.031,  158963865.843,         44.400
J02, 2025-01-30 00:06:00.000,   40509706.891,  212879907.777,         39.000,   40509705.715,  212879851.772,         44.100,   40509702.156,  212879937.731,         40.100,   40509713.969,  165880679.274,         45.000,   40509710.934,  158968644.507,         44.300
J02, 2025-01-30 00:06:30.000,   40510932.469,  212886347.456,         39.200,   40510931.172,  212886291.431,         43.700,   40510928.055,  212886377.417,         40.100,   40510939.293,  165885697.176,         43.800,   40510936.320,  158973453.350,         45.200
J02, 2025-01-30 00:07:00.000,   40512165.250,  212892827.493,         40.500,   40512164.215,  212892771.485,         44.800,   40512161.098,  212892857.449,         41.100,   40512172.234,  165890746.569,         43.900,   40512169.480,  158978292.349,         45.500
J02, 2025-01-30 00:07:30.000,   40513406.156,  212899347.813,         40.200,   40513404.906,  212899291.796,         44.500,   40513401.969,  212899377.769,         41.400,   40513412.988,  165895827.312,         43.500,   40513410.270,  158983161.395,         45.300
