> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S27, 2025-01-06 00:00:00.000,   37215854.406,  195570635.563,         45.400,,,,,,,,,,,,
S27, 2025-01-06 00:00:30.000,   37215754.453,  195570110.351,         45.400,,,,,,,,,,,,
S27, 2025-01-06 00:01:00.000,   37215654.453,  195569584.830,         45.400,,,,,,,,,,,,
S27, 2025-01-06 00:01:30.000,   37215553.672,  195569060.534,         45.400,,,,,,,,,,,,
S27, 2025-01-06 00:02:00.000,   37215454.766,  195568536.513,         45.800,,,,,,,,,,,,
S27, 2025-01-06 00:02:30.000,   37215355.125,  195568013.641,         45.500,,,,,,,,,,,,
S27, 2025-01-06 00:03:00.000,   37215256.141,  195567490.687,         45.400,,,,,,,,,,,,
S27, 2025-01-06 00:03:30.000,   37215156.578,  195566968.679,         45.600,,,,,,,,,,,,
S27, 2025-01-06 00:04:00.000,   37215056.953,  195566446.811,         45.500,,,,,,,,,,,,
S27, 2025-01-06 00:04:30.000,   37214958.875,  195565926.156,         45.600,,,,,,,,,,,,
S27, 2025-01-06 00:05:00.000,   37214859.000,  195565405.218,         45.500,,,,,,,,,,,,
S27, 2025-01-06 00:05:30.000,   37214761.094,  195564885.099,         45.700,,,,,,,,,,,,
S27, 2025-01-06 00:06:00.000,   37214661.078,  195564366.109,         45.700,,,,,,,,,,,,
S27, 2025-01-06 00:06:30.000,   37214562.281,  195563846.931,         45.400,,,,,,,,,,,,
S27, 2025-01-06 00:07:00.000,   37214464.078,  195563329.212,         45.600,,,,,,,,,,,,
S27, 2025-01-06 00:07:30.000,   37214365.938,  195562810.823,         45.300,,,,,,,,,,,,
S27, 2025-01-06 00:08:00.000,   37214267.172,  195562294.845,         45.300,,,,,,,,,,,,
S27, 2025-01-06 00:08:30.000,   37214168.922,  195561778.439,         45.500,,,,,,,,,,,,
S27, 2025-01-06 00:09:00.000,   37214071.156,  195561262.995,         45.500,,,,,,,,,,,,
S27, 2025-01-06 00:09:30.000,   37213973.203,  195560748.356,         45.700,,,,,,,,,,,,
S27, 2025-01-06 00:10:00.000,   37213874.828,  195560233.850,         45.300,,,,,,,,,,,,
S27, 2025-01-06 00:10:30.000,   37213777.406,  195559720.383,         45.600,,,,,,,,,,,,
S27, 2025-01-06 00:11:00.000,   37213679.531,  195559207.481,         45.500,,,,,,,,,,,,
S27, 2025-01-06 00:11:30.000,   37213581.859,  195558695.529,         45.500,,,,,,,,,,,,
S27, 2025-01-06 00:12:00.000,   37213484.500,  195558183.200,         45.700,,,,,,,,,,,,
S27, 2025-01-06 00:12:30.000,   37213387.656,  195557672.095,         45.600,,,,,,,,,,,,
S27, 2025-01-06 00:13:00.000,   37213291.078,  195557161.397,         45.800,,,,,,,,,,,,
