> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
J02, 2025-01-24 00:00:00.000,   39488025.922,  207510991.121,         37.900,   39488024.547,  207511158.142,         41.800,   39488021.422,  207510910.175,         38.700,   39488036.129,  161697089.122,         47.800,   39488033.172,  154959660.846,         45.400
J02, 2025-01-24 00:00:30.000,   39491387.672,  207528657.974,         39.500,   39491386.418,  207528824.987,         43.100,   39491382.871,  207528577.027,         40.100,   39491397.930,  161710855.444,         47.400,   39491394.922,  154972853.560,         45.600
J02, 2025-01-24 00:01:00.000,   39494757.109,  207546365.354,         39.600,   39494756.156,  207546532.359,         44.000,   39494752.742,  207546284.406,         41.300,   39494767.488,  161724653.336,         46.800,   39494764.598,  154986076.535,         45.200
J02, 2025-01-24 00:01:30.000,   39498134.578,  207564113.428,         41.100,   39498133.809,  207564280.429,         44.500,   39498130.480,  207564032.490,         41.400,   39498144.852,  161738482.932,         48.000,   39498142.324,  154999329.886,         45.300
J02, 2025-01-24 00:02:00.000,   39501519.688,  207581901.852,         41.400,   39501518.918,  207582068.845,         45.400,   39501515.586,  207581820.913,         41.800,   39501530.320,  161752343.930,         47.600,   39501527.539,  155012613.338,         45.000
J02, 2025-01-24 00:02:30.000,   39504912.422,  207599730.097,         40.100,   39504911.367,  207599897.084,         45.000,   39504907.918,  207599649.159,         41.900,   39504922.824,  161766235.983,         47.300,   39504920.168,  155025926.546,         45.800
J02, 2025-01-24 00:03:00.000,   39508312.734,  207617598.368,         40.200,   39508311.773,  207617765.369,         44.300,   39508308.184,  207617517.428,         41.100,   39508323.277,  161780159.272,         47.500,   39508320.609,  155039269.674,         45.100
J02, 2025-01-24 00:03:30.000,   39511720.750,  207635506.877,         39.900,   39511719.516,  207635673.887,         44.500,   39511716.289,  207635425.931,         40.800,   39511731.086,  161794113.901,         47.300,   39511728.840,  155052642.848,         45.100
J02, 2025-01-24 00:04:00.000,   39515136.188,  207653455.615,         40.400,   39515135.383,  207653622.603,         44.900,   39515131.566,  207653374.684,         41.200,   39515146.773,  161808099.848,         47.600,   39515144.293,  155066046.051,         45.600
J02, 2025-01-24 00:04:30.000,   39518559.547,  207671444.617,         41.400,   39518558.391,  207671611.612,         45.500,   39518554.977,  207671363.677,         42.700,   39518569.938,  161822117.175,         47.500,   39518567.352,  155079479.301,         45.400
