> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S27, 2025-01-31 00:00:00.000,   37426299.984,  196676524.935,         45.100,,,,,,,,,,,,
S27, 2025-01-31 00:00:30.000,   37426236.656,  196676193.954,         45.200,,,,,,,,,,,,
S27, 2025-01-31 00:01:00.000,   37426174.109,  196675862.628,         45.000,,,,,,,,,,,,
S27, 2025-01-31 00:01:30.000,   37426110.844,  196675531.854,         45.600,,,,,,,,,,,,
S27, 2025-01-31 00:02:00.000,   37426047.875,  196675201.185,         45.200,,,,,,,,,,,,
S27, 2025-01-31 00:02:30.000,   37425985.188,  196674871.168,         45.100,,,,,,,,,,,,
S27, 2025-01-31 00:03:00.000,   37425922.609,  196674541.033,         45.500,,,,,,,,,,,,
S27, 2025-01-31 00:03:30.000,   37425859.828,  196674211.308,         45.100,,,,,,,,,,,,
S27, 2025-01-31 00:04:00.000,   37425797.172,  196673881.970,         45.200,,,,,,,,,,,,
S27, 2025-01-31 00:04:30.000,   37425734.500,  196673552.272,         45.500,,,,,,,,,,,,
S27, 2025-01-31 00:05:00.000,   37425670.969,  196673222.844,         45.300,,,,,,,,,,,,
S27, 2025-01-31 00:05:30.000,   37425609.422,  196672893.822,         45.200,,,,,,,,,,,,
S27, 2025-01-31 00:06:00.000,   37425546.563,  196672565.276,         45.300,,,,,,,,,,,,
S27, 2025-01-31 00:06:30.000,   37425484.609,  196672236.906,         45.200,,,,,,,,,,,,
S27, 2025-01-31 00:07:00.000,   37425421.719,  196671908.608,         45.200,,,,,,,,,,,,
S27, 2025-01-31 00:07:30.000,   37425360.188,  196671580.554,         45.200,,,,,,,,,,,,
S27, 2025-01-31 00:08:00.000,   37425297.141,  196671252.729,         45.200,,,,,,,,,,,,
S27, 2025-01-31 00:08:30.000,   37425235.375,  196670925.919,         45.300,,,,,,,,,,,,
S27, 2025-01-31 00:09:00.000,   37425172.188,  196670598.794,         45.100,,,,,,,,,,,,
S27, 2025-01-31 00:09:30.000,   37425110.500,  196670272.257,         45.300,,,,,,,,,,,,
S27, 2025-01-31 00:10:00.000,   37425048.344,  196669945.574,         45.500,,,,,,,,,,,,
S27, 2025-01-31 00:10:30.000,   37424986.297,  196669619.648,         45.300,,,,,,,,,,,,
