> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I01, 2025-01-31 11:45:00.000,   67108862.992,               ,         42.500,,,,,,,,,,,,
I01, 2025-01-31 11:46:00.000,   67108862.992,               ,         42.000,,,,,,,,,,,,
I01, 2025-01-31 11:46:30.000,   67108862.992,               ,         41.800,,,,,,,,,,,,
I01, 2025-01-31 11:47:00.000,   67108862.992,               ,         42.300,,,,,,,,,,,,
I01, 2025-01-31 11:47:30.000,   67108862.992,               ,         43.400,,,,,,,,,,,,
I01, 2025-01-31 11:48:00.000,   67108862.992,               ,         42.900,,,,,,,,,,,,
I01, 2025-01-31 11:48:30.000,   67108862.992,               ,         43.500,,,,,,,,,,,,
I01, 2025-01-31 11:49:00.000,   67108862.992,               ,         41.700,,,,,,,,,,,,
I01, 2025-01-31 11:49:30.000,   67108862.992,               ,         43.100,,,,,,,,,,,,
I01, 2025-01-31 11:50:00.000,   67108862.992,               ,         43.700,,,,,,,,,,,,
I01, 2025-01-31 11:50:30.000,   67108862.992,               ,         43.300,,,,,,,,,,,,
I01, 2025-01-31 11:51:00.000,   67108862.992,               ,         43.100,,,,,,,,,,,,
I01, 2025-01-31 11:51:30.000,   67108862.992,               ,         42.400,,,,,,,,,,,,
I01, 2025-01-31 11:52:00.000,   67108862.992,               ,         41.500,,,,,,,,,,,,
I01, 2025-01-31 11:52:30.000,   67108862.992,               ,         42.300,,,,,,,,,,,,
I01, 2025-01-31 11:53:00.000,   67108862.992,               ,         42.000,,,,,,,,,,,,
I01, 2025-01-31 11:53:30.000,   67108862.992,               ,         42.700,,,,,,,,,,,,
I01, 2025-01-31 11:54:00.000,   67108862.992,               ,         42.800,,,,,,,,,,,,
I01, 2025-01-31 11:54:30.000,   67108862.992,               ,         42.600,,,,,,,,,,,,
I01, 2025-01-31 11:55:00.000,   67108862.992,               ,         41.800,,,,,,,,,,,,
I01, 2025-01-31 11:55:30.000,   67108862.992,               ,         41.300,,,,,,,,,,,,
I01, 2025-01-31 11:56:00.000,   67108862.992,               ,         41.700,,,,,,,,,,,,
I01, 2025-01-31 11:56:30.000,   67108862.992,               ,         41.700,,,,,,,,,,,,
I01, 2025-01-31 11:57:00.000,   67108862.992,               ,         41.600,,,,,,,,,,,,
I01, 2025-01-31 11:57:30.000,   67108862.992,               ,         41.800,,,,,,,,,,,,
I01, 2025-01-31 11:58:00.000,   67108862.992,               ,         41.700,,,,,,,,,,,,
I01, 2025-01-31 11:58:30.000,   67108862.992,               ,         42.200,,,,,,,,,,,,
I01, 2025-01-31 12:01:00.000,   67108862.992,               ,         42.600,,,,,,,,,,,,
