> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
J02, 2025-01-15 00:00:00.000,   39394605.563,  207020063.481,         43.000,   39394604.371,  207020178.463,         47.600,   39394600.809,  207020072.937,         44.700,   39394611.211,  161314452.054,         44.600,   39394610.906,  154593026.471,         45.300
J02, 2025-01-15 00:00:30.000,   39395412.281,  207024303.263,         43.900,   39395411.352,  207024418.267,         48.200,   39395407.969,  207024312.720,         44.700,   39395418.645,  161317755.740,         43.600,   39395417.543,  154596192.496,         45.100
J02, 2025-01-15 00:01:00.000,   39396227.453,  207028585.267,         43.800,   39396226.281,  207028700.264,         48.300,   39396223.109,  207028594.724,         45.000,   39396233.570,  161321092.326,         43.700,   39396232.598,  154599390.064,         45.700
J02, 2025-01-15 00:01:30.000,   39397049.984,  207032909.759,         43.400,   39397048.719,  207033024.763,         48.000,   39397045.758,  207032919.222,         44.500,   39397056.418,  161324462.032,         44.100,   39397055.727,  154602619.344,         45.600
J02, 2025-01-15 00:02:00.000,   39397881.078,  207037276.811,         44.000,   39397879.879,  207037391.801,         47.900,   39397876.703,  207037286.268,         44.400,   39397887.539,  161327864.891,         43.400,   39397886.996,  154605880.397,         45.800
J02, 2025-01-15 00:02:30.000,   39398720.844,  207041686.313,         43.300,   39398719.180,  207041801.326,         47.400,   39398715.727,  207041695.771,         44.200,   39398726.484,  161331300.823,         43.800,   39398726.316,  154609173.188,         46.400
J02, 2025-01-15 00:03:00.000,   39399567.891,  207046138.181,         43.500,   39399566.348,  207046253.180,         47.900,   39399562.980,  207046147.638,         44.200,   39399573.559,  161334769.786,         44.300,   39399573.633,  154612497.579,         45.800
J02, 2025-01-15 00:03:30.000,   39400423.297,  207050632.403,         45.000,   39400421.820,  207050747.388,         48.100,   39400418.563,  207050641.861,         44.500,   39400428.883,  161338271.727,         44.300,   39400428.723,  154615853.610,         45.900
J02, 2025-01-15 00:04:00.000,   39401286.516,  207055168.946,         44.600,   39401285.395,  207055283.943,         48.500,   39401282.035,  207055178.409,         44.600,   39401292.598,  161341806.668,         44.700,   39401292.109,  154619241.241,         45.700
J02, 2025-01-15 00:04:30.000,   39402157.469,  207059748.292,         44.700,   39402156.570,  207059863.290,         48.500,   39402153.340,  207059757.756,         44.700,   39402163.902,  161345374.939,         43.900,   39402163.520,  154622660.829,         45.800
J02, 2025-01-15 00:05:00.000,   39403037.563,  207064370.719,         44.000,   39403036.168,  207064485.711,         48.500,   39403033.016,  207064380.191,         45.000,   39403043.539,  161348976.774,         44.800,   39403042.969,  154626112.580,         45.700
J02, 2025-01-15 00:05:30.000,   39403924.984,  207069035.829,         45.600,   39403923.836,  207069150.827,         48.800,   39403920.594,  207069045.293,         45.000,   39403931.313,  161352611.891,         45.300,   39403930.934,  154629596.222,         45.500
J02, 2025-01-15 00:06:00.000,   39404820.719,  207073743.881,         44.100,   39404820.016,  207073858.881,         48.300,   39404816.652,  207073753.346,         45.100,   39404827.348,  161356280.471,         45.500,   39404826.883,  154633111.931,         45.700
J02, 2025-01-15 00:06:30.000,   39405725.344,  207078494.841,         44.400,   39405723.992,  207078609.826,         47.900,   39405720.602,  207078504.305,         45.400,   39405731.297,  161359982.464,         44.600,   39405730.891,  154636659.676,         46.500
J02, 2025-01-15 00:07:00.000,   39406637.906,  207083288.958,         45.300,   39406636.297,  207083403.958,         48.200,   39406632.961,  207083298.422,         45.800,   39406643.852,  161363718.094,         44.600,   39406643.191,  154640239.655,         45.900
J02, 2025-01-15 00:07:30.000,   39407558.031,  207088126.017,         45.100,   39407556.770,  207088241.009,         48.900,   39407553.543,  207088135.481,         45.400,   39407564.063,  161367487.183,         44.500,   39407563.570,  154643851.676,         45.800
J02, 2025-01-15 00:08:00.000,   39408486.594,  207093005.677,         45.200,   39408485.434,  207093120.670,         49.200,   39408482.098,  207093015.142,         45.800,   39408493.199,  161371289.477,         43.800,   39408491.934,  154647495.539,         45.300
J02, 2025-01-15 00:08:30.000,   39409423.203,  207097928.159,         43.900,   39409422.176,  207098043.160,         48.600,   39409418.980,  207097937.631,         45.200,   39409429.531,  161375125.149,         43.300,   39409428.590,  154651171.358,         45.700
J02, 2025-01-15 00:09:00.000,   39410368.641,  207102893.655,         44.900,   39410367.359,  207103008.661,         48.700,   39410363.926,  207102903.126,         45.700,   39410374.133,  161378994.314,         44.500,   39410373.543,  154654879.301,         46.100
J02, 2025-01-15 00:09:30.000,   39411322.063,  207107902.811,         45.100,   39411320.551,  207108017.804,         49.100,   39411317.270,  207107912.282,         45.900,   39411327.410,  161382897.514,         44.200,   39411326.934,  154658619.848,         46.700
J02, 2025-01-15 00:10:00.000,   39412283.047,  207112956.239,         44.600,   39412282.363,  207113071.238,         49.300,   39412278.996,  207112965.711,         46.100,   39412289.387,  161386835.176,         44.900,   39412288.664,  154662393.448,         46.000
J02, 2025-01-15 00:10:30.000,   39413253.813,  207118053.577,         45.500,   39413252.316,  207118168.564,         49.300,   39413249.098,  207118063.050,         45.800,   39413259.980,  161390807.071,         44.700,   39413258.793,  154666199.848,         46.600
J02, 2025-01-15 00:11:00.000,   39414231.719,  207123194.710,         44.200,   39414230.637,  207123309.715,         48.800,   39414227.418,  207123204.181,         45.900,   39414237.926,  161394813.109,         45.000,   39414237.320,  154670038.941,         46.900
J02, 2025-01-15 00:11:30.000,   39415218.563,  207128379.886,         43.800,   39415217.219,  207128494.878,         48.600,   39415214.094,  207128389.357,         45.300,   39415225.219,  161398853.448,         44.700,   39415223.980,  154673910.917,         46.600
J02, 2025-01-15 00:12:00.000,   39416213.844,  207133608.620,         44.500,   39416211.906,  207133723.619,         48.700,   39416208.895,  207133618.091,         45.300,   39416219.621,  161402927.735,         44.500,   39416219.176,  154677815.430,         46.900
J02, 2025-01-15 00:12:30.000,   39417216.781,  207138881.379,         44.600,   39417215.586,  207138996.372,         48.700,   39417212.199,  207138890.858,         45.300,   39417222.969,  161407036.316,         44.900,   39417222.754,  154681752.803,         46.400
J02, 2025-01-15 00:13:00.000,   39418228.797,  207144198.671,         44.500,   39418227.309,  207144313.661,         48.500,   39418223.891,  207144208.149,         45.600,   39418235.406,  161411179.593,         44.400,   39418234.469,  154685723.446,         47.000
J02, 2025-01-15 00:13:30.000,   39419249.375,  207149560.067,         43.900,   39419247.707,  207149675.079,         48.200,   39419244.594,  207149569.545,         44.700,   39419255.207,  161415357.269,         44.800,   39419254.809,  154689727.030,         46.000
J02, 2025-01-15 00:14:00.000,   39420277.688,  207154965.446,         44.300,   39420276.477,  207155080.451,         49.000,   39420273.172,  207154974.924,         45.700,   39420284.223,  161419569.187,         44.300,   39420283.355,  154693763.451,         46.300
J02, 2025-01-15 00:14:30.000,   39421314.719,  207160414.894,         44.500,   39421313.547,  207160529.890,         48.800,   39421310.195,  207160424.373,         45.600,   39421321.031,  161423815.444,         44.600,   39421320.688,  154697832.761,         46.900
J02, 2025-01-15 00:15:00.000,   39422359.906,  207165908.569,         44.600,   39422358.766,  207166023.573,         48.700,   39422355.375,  207165918.048,         45.300,   39422366.758,  161428096.181,         44.600,   39422366.051,  154701935.135,         46.500
J02, 2025-01-15 00:15:30.000,   39423414.313,  207171446.632,         44.800,   39423412.840,  207171561.621,         48.700,   39423409.473,  207171456.110,         45.900,   39423420.355,  161432411.485,         44.700,   39423420.082,  154706070.624,         47.000
J02, 2025-01-15 00:16:00.000,   39424476.422,  207177029.016,         45.300,   39424474.965,  207177144.011,         49.000,   39424471.965,  207177038.495,         45.500,   39424482.695,  161436761.340,         44.400,   39424482.281,  154710239.214,         47.300
J02, 2025-01-15 00:16:30.000,   39425547.172,  207182656.009,         44.900,   39425545.727,  207182771.013,         48.800,   39425542.566,  207182665.496,         45.300,   39425553.555,  161441145.948,         44.000,   39425553.242,  154714441.127,         46.200
J02, 2025-01-15 00:17:00.000,   39426626.375,  207188327.358,         44.500,   39426625.230,  207188442.360,         48.800,   39426621.797,  207188336.838,         45.500,   39426633.027,  161445565.113,         45.300,   39426632.477,  154718676.151,         46.700
J02, 2025-01-15 00:17:30.000,   39427714.359,  207194043.065,         44.100,   39427712.879,  207194158.066,         48.400,   39427709.723,  207194052.551,         44.900,   39427720.590,  161450018.850,         44.900,   39427720.465,  154722944.294,         47.100
J02, 2025-01-15 00:18:00.000,   39428810.578,  207199803.284,         43.300,   39428809.238,  207199918.271,         48.200,   39428805.926,  207199812.770,         44.300,   39428816.680,  161454507.249,         44.700,   39428816.762,  154727245.671,         46.900
J02, 2025-01-15 00:18:30.000,   39429915.469,  207205608.154,         43.900,   39429913.914,  207205723.148,         48.700,   39429910.633,  207205617.640,         45.000,   39429921.551,  161459030.457,         44.600,   39429921.234,  154731580.392,         47.000
J02, 2025-01-15 00:19:00.000,   39431027.953,  207211457.630,         44.000,   39431027.207,  207211572.626,         48.600,   39431023.977,  207211467.117,         45.200,   39431034.730,  161463588.429,         44.600,   39431034.473,  154735948.436,         46.300
J02, 2025-01-15 00:19:30.000,   39432149.969,  207217351.920,         43.800,   39432148.723,  207217466.915,         48.700,   39432145.605,  207217361.406,         45.000,   39432156.359,  161468181.301,         44.500,   39432156.215,  154740349.933,         46.700
J02, 2025-01-15 00:20:00.000,   39433280.297,  207223290.932,         44.300,   39433278.813,  207223405.929,         48.800,   39433275.688,  207223300.419,         45.300,   39433286.813,  161472809.052,         44.600,   39433286.480,  154744784.826,         46.800
J02, 2025-01-15 00:20:30.000,   39434418.672,  207229274.962,         44.700,   39434417.703,  207229389.966,         49.000,   39434414.496,  207229284.456,         45.500,   39434425.504,  161477471.878,         44.500,   39434425.348,  154749253.350,         46.500
J02, 2025-01-15 00:21:00.000,   39435566.188,  207235304.039,         45.100,   39435564.938,  207235419.022,         48.900,   39435561.793,  207235313.526,         45.800,   39435572.914,  161482169.780,         44.600,   39435572.531,  154753755.489,         46.300
J02, 2025-01-15 00:21:30.000,   39436722.219,  207241377.980,         44.500,   39436721.086,  207241492.977,         48.800,   39436717.488,  207241387.466,         45.300,   39436728.711,  161486902.646,         44.700,   39436728.461,  154758291.154,         46.400
J02, 2025-01-15 00:22:00.000,   39437886.563,  207247496.749,         45.000,   39437885.305,  207247611.733,         48.600,   39437882.070,  207247506.243,         45.200,   39437893.078,  161491670.449,         44.800,   39437892.961,  154762860.268,         46.300
J02, 2025-01-15 00:22:30.000,   39439059.797,  207253660.329,         43.900,   39439058.398,  207253775.327,         48.300,   39439054.969,  207253669.823,         45.000,   39439066.117,  161496473.162,         44.500,   39439066.098,  154767462.865,         46.700
J02, 2025-01-15 00:23:00.000,   39440240.875,  207259869.195,         44.500,   39440239.891,  207259984.193,         48.800,   39440236.605,  207259878.689,         45.000,   39440247.609,  161501311.169,         45.100,   39440247.598,  154772099.270,         46.800
J02, 2025-01-15 00:23:30.000,   39441431.016,  207266123.102,         44.500,   39441430.051,  207266238.107,         48.600,   39441426.832,  207266132.596,         45.000,   39441437.824,  161506184.284,         45.000,   39441437.578,  154776769.320,         46.500
J02, 2025-01-15 00:24:00.000,   39442629.875,  207272422.156,         46.000,   39442628.852,  207272537.142,         48.600,   39442625.535,  207272431.644,         45.600,   39442636.289,  161511092.557,         44.100,   39442636.320,  154781473.072,         45.800
J02, 2025-01-15 00:24:30.000,   39443837.344,  207278766.343,         44.800,   39443835.984,  207278881.350,         49.300,   39443832.680,  207278775.837,         46.100,   39443843.680,  161516036.022,         43.700,   39443843.711,  154786210.537,         46.100
J02, 2025-01-15 00:25:00.000,   39445053.375,  207285156.041,         46.000,   39445051.941,  207285271.033,         48.900,   39445048.363,  207285165.536,         46.500,   39445059.590,  161521014.932,         43.700,   39445059.582,  154790981.983,         46.500
J02, 2025-01-15 00:25:30.000,   39446277.703,  207291590.799,         45.000,   39446276.148,  207291705.806,         48.600,   39446273.066,  207291600.295,         45.700,   39446284.168,  161526028.975,         43.700,   39446284.105,  154795787.095,         46.200
J02, 2025-01-15 00:26:00.000,   39447510.547,  207298071.131,         45.000,   39447509.754,  207298186.137,         48.700,   39447506.617,  207298080.632,         45.400,   39447517.480,  161531078.539,         44.300,   39447517.410,  154800626.242,         46.300
J02, 2025-01-15 00:26:30.000,   39448752.891,  207304596.600,         45.600,   39448751.242,  207304711.599,         49.100,   39448748.172,  207304606.102,         46.200,   39448759.539,  161536163.241,         45.000,   39448759.152,  154805499.073,         46.400
J02, 2025-01-15 00:27:00.000,   39450003.266,  207311167.191,         44.100,   39450001.965,  207311282.190,         48.700,   39449998.707,  207311176.692,         45.800,   39450009.969,  161541283.120,         44.900,   39450009.480,  154810405.595,         46.400
