> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
S22, 2025-01-08 00:00:00.000,   39014923.594,  205025435.528,         39.900,,,,,,,,,,,,
S22, 2025-01-08 00:00:30.000,   39015363.766,  205027735.084,         40.000,,,,,,,,,,,,
S22, 2025-01-08 00:01:00.000,   39015797.594,  205030025.004,         39.800,,,,,,,,,,,,
S22, 2025-01-08 00:01:30.000,   39016235.781,  205032322.715,         39.900,,,,,,,,,,,,
S22, 2025-01-08 00:02:00.000,   39016671.656,  205034615.945,         39.500,,,,,,,,,,,,
S22, 2025-01-08 00:02:30.000,   39017111.266,  205036910.009,         39.500,,,,,,,,,,,,
S22, 2025-01-08 00:03:00.000,   39017544.719,  205039204.111,         39.900,,,,,,,,,,,,
S22, 2025-01-08 00:03:30.000,   39017979.766,  205041494.925,         39.400,,,,,,,,,,,,
S22, 2025-01-08 00:04:00.000,   39018415.922,  205043785.061,         39.600,,,,,,,,,,,,
S22, 2025-01-08 00:04:30.000,   39018850.766,  205046072.069,         39.700,,,,,,,,,,,,
S22, 2025-01-08 00:05:00.000,   39019286.703,  205048352.871,         39.400,,,,,,,,,,,,
S22, 2025-01-08 00:05:30.000,   39019722.766,  205050644.022,         39.600,,,,,,,,,,,,
S22, 2025-01-08 00:06:00.000,   39020156.578,  205052921.127,         39.700,,,,,,,,,,,,
S22, 2025-01-08 00:06:30.000,   39020592.703,  205055199.429,         39.200,,,,,,,,,,,,
S22, 2025-01-08 00:07:00.000,   39021023.359,  205057474.488,         39.100,,,,,,,,,,,,
S22, 2025-01-08 00:07:30.000,   39021459.250,  205059748.193,         39.700,,,,,,,,,,,,
S22, 2025-01-08 00:08:00.000,   39021893.672,  205062020.948,         39.500,,,,,,,,,,,,
S22, 2025-01-08 00:08:30.000,   39022326.141,  205064296.250,         39.500,,,,,,,,,,,,
S22, 2025-01-08 00:09:00.000,   39022759.813,  205066564.793,         39.300,,,,,,,,,,,,
S22, 2025-01-08 00:09:30.000,   39023191.234,  205068833.331,         39.400,,,,,,,,,,,,
S22, 2025-01-08 00:10:00.000,   39023624.141,  205071099.762,         39.700,,,,,,,,,,,,
S22, 2025-01-08 00:10:30.000,   39024056.391,  205073365.144,         39.400,,,,,,,,,,,,
S22, 2025-01-08 00:11:00.000,   39024488.875,  205075630.912,         40.100,,,,,,,,,,,,
S22, 2025-01-08 00:11:30.000,   39024917.703,  205077899.610,         39.400,,,,,,,,,,,,
S22, 2025-01-08 00:12:00.000,   39025348.234,  205080168.268,         39.200,,,,,,,,,,,,
S22, 2025-01-08 00:12:30.000,   39025777.156,  205082430.636,         39.200,,,,,,,,,,,,
S22, 2025-01-08 00:13:00.000,   39026204.359,  205084697.044,         38.800,,,,,,,,,,,,
S22, 2025-01-08 00:13:30.000,   39026634.766,  205086956.639,         38.600,,,,,,,,,,,,
S22, 2025-01-08 00:14:00.000,   39027064.047,  205089220.441,         38.600,,,,,,,,,,,,
S22, 2025-01-08 00:14:30.000,   39027492.453,  205091480.058,         38.300,,,,,,,,,,,,
S22, 2025-01-08 00:15:00.000,   39027917.516,  205093738.465,         38.700,,,,,,,,,,,,
S22, 2025-01-08 00:15:30.000,   39028348.938,  205095992.285,         38.700,,,,,,,,,,,,
S22, 2025-01-08 00:16:00.000,   39028776.750,  205098249.741,         38.500,,,,,,,,,,,,
S22, 2025-01-08 00:16:30.000,   39029204.188,  205100494.296,         38.800,,,,,,,,,,,,
S22, 2025-01-08 00:17:00.000,   39029629.016,  205102739.150,         38.700,,,,,,,,,,,,
S22, 2025-01-08 00:17:30.000,   39030055.953,  205104978.221,         38.900,,,,,,,,,,,,
S22, 2025-01-08 00:18:00.000,   39030486.188,  205107216.211,         39.500,,,,,,,,,,,,
S22, 2025-01-08 00:18:30.000,   39030911.672,  205109456.627,         39.000,,,,,,,,,,,,
S22, 2025-01-08 00:19:00.000,   39031336.797,  205111691.549,         38.800,,,,,,,,,,,,
S22, 2025-01-08 00:19:30.000,   39031763.391,  205113921.460,         38.900,,,,,,,,,,,,
S22, 2025-01-08 00:20:00.000,   39032190.281,  205116150.295,         39.400,,,,,,,,,,,,
S22, 2025-01-08 00:20:30.000,   39032616.953,  205118377.117,         39.800,,,,,,,,,,,,
